ID	Sex	DR	Vowel
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	iy
JLN0	M	8	aa
JLN0	M	8	aa
JLN0	M	8	aa
JLN0	M	8	aa
JLN0	M	8	aa
JLN0	M	8	aa
JLN0	M	8	uh
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	s
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	z
JLN0	M	8	sh
JLN0	M	8	sh
JLN0	M	8	sh
JLN0	M	8	f
JLN0	M	8	f
JLN0	M	8	f
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	h#
JLN0	M	8	pau
JLN0	M	8	pau
