ID	Sex	DR	Vowel
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	iy
KAA0	F	2	aa
KAA0	F	2	aa
KAA0	F	2	aa
KAA0	F	2	aa
KAA0	F	2	aa
KAA0	F	2	aa
KAA0	F	2	aa
KAA0	F	2	aa
KAA0	F	2	aa
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	s
KAA0	F	2	z
KAA0	F	2	z
KAA0	F	2	z
KAA0	F	2	z
KAA0	F	2	z
KAA0	F	2	z
KAA0	F	2	z
KAA0	F	2	z
KAA0	F	2	sh
KAA0	F	2	sh
KAA0	F	2	sh
KAA0	F	2	sh
KAA0	F	2	f
KAA0	F	2	f
KAA0	F	2	f
KAA0	F	2	f
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	h#
KAA0	F	2	pau
KAA0	F	2	pau
KAA0	F	2	pau
KAA0	F	2	pau
