ID	Sex	DR	Vowel
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	iy
LMC0	F	2	aa
LMC0	F	2	aa
LMC0	F	2	aa
LMC0	F	2	aa
LMC0	F	2	aa
LMC0	F	2	aa
LMC0	F	2	aa
LMC0	F	2	uh
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	s
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	z
LMC0	F	2	sh
LMC0	F	2	sh
LMC0	F	2	sh
LMC0	F	2	sh
LMC0	F	2	f
LMC0	F	2	f
LMC0	F	2	f
LMC0	F	2	f
LMC0	F	2	f
LMC0	F	2	f
LMC0	F	2	f
LMC0	F	2	f
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	h#
LMC0	F	2	pau
LMC0	F	2	pau
