ID	Sex	DR	Vowel
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	iy
LNT0	M	3	aa
LNT0	M	3	aa
LNT0	M	3	aa
LNT0	M	3	aa
LNT0	M	3	aa
LNT0	M	3	aa
LNT0	M	3	aa
LNT0	M	3	aa
LNT0	M	3	uh
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	s
LNT0	M	3	z
LNT0	M	3	z
LNT0	M	3	z
LNT0	M	3	z
LNT0	M	3	z
LNT0	M	3	z
LNT0	M	3	sh
LNT0	M	3	sh
LNT0	M	3	sh
LNT0	M	3	sh
LNT0	M	3	sh
LNT0	M	3	f
LNT0	M	3	f
LNT0	M	3	f
LNT0	M	3	f
LNT0	M	3	f
LNT0	M	3	f
LNT0	M	3	f
LNT0	M	3	f
LNT0	M	3	f
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	h#
LNT0	M	3	pau
LNT0	M	3	pau
LNT0	M	3	pau
LNT0	M	3	pau
