ID	Sex	DR	Vowel
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	iy
MEB0	M	3	aa
MEB0	M	3	aa
MEB0	M	3	aa
MEB0	M	3	aa
MEB0	M	3	aa
MEB0	M	3	aa
MEB0	M	3	aa
MEB0	M	3	uh
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	s
MEB0	M	3	z
MEB0	M	3	z
MEB0	M	3	z
MEB0	M	3	z
MEB0	M	3	z
MEB0	M	3	z
MEB0	M	3	sh
MEB0	M	3	sh
MEB0	M	3	sh
MEB0	M	3	sh
MEB0	M	3	sh
MEB0	M	3	sh
MEB0	M	3	f
MEB0	M	3	f
MEB0	M	3	f
MEB0	M	3	f
MEB0	M	3	f
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
MEB0	M	3	h#
