ID	Sex	DR	Vowel
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	aa
PAB0	M	7	aa
PAB0	M	7	aa
PAB0	M	7	aa
PAB0	M	7	aa
PAB0	M	7	uh
PAB0	M	7	uh
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	z
PAB0	M	7	z
PAB0	M	7	z
PAB0	M	7	z
PAB0	M	7	z
PAB0	M	7	sh
PAB0	M	7	sh
PAB0	M	7	sh
PAB0	M	7	sh
PAB0	M	7	f
PAB0	M	7	f
PAB0	M	7	f
PAB0	M	7	f
PAB0	M	7	f
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	h#
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
PAB0	M	7	pau
