ID	Sex	DR	Vowel
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	iy
PEB0	M	4	aa
PEB0	M	4	aa
PEB0	M	4	aa
PEB0	M	4	aa
PEB0	M	4	aa
PEB0	M	4	uh
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	s
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	z
PEB0	M	4	sh
PEB0	M	4	sh
PEB0	M	4	sh
PEB0	M	4	sh
PEB0	M	4	sh
PEB0	M	4	sh
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	h#
PEB0	M	4	pau
PEB0	M	4	pau
