ID	Sex	DR	Vowel
PMY0	F	5	iy
PMY0	F	5	iy
PMY0	F	5	iy
PMY0	F	5	iy
PMY0	F	5	iy
PMY0	F	5	iy
PMY0	F	5	iy
PMY0	F	5	iy
PMY0	F	5	iy
PMY0	F	5	aa
PMY0	F	5	aa
PMY0	F	5	aa
PMY0	F	5	aa
PMY0	F	5	aa
PMY0	F	5	uh
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	s
PMY0	F	5	z
PMY0	F	5	z
PMY0	F	5	z
PMY0	F	5	z
PMY0	F	5	z
PMY0	F	5	z
PMY0	F	5	z
PMY0	F	5	z
PMY0	F	5	z
PMY0	F	5	sh
PMY0	F	5	sh
PMY0	F	5	sh
PMY0	F	5	f
PMY0	F	5	f
PMY0	F	5	f
PMY0	F	5	f
PMY0	F	5	f
PMY0	F	5	f
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	h#
PMY0	F	5	pau
PMY0	F	5	pau
PMY0	F	5	pau
