ID	Sex	DR	Vowel
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	iy
PPC0	M	2	aa
PPC0	M	2	aa
PPC0	M	2	aa
PPC0	M	2	aa
PPC0	M	2	aa
PPC0	M	2	aa
PPC0	M	2	aa
PPC0	M	2	aa
PPC0	M	2	uh
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	s
PPC0	M	2	z
PPC0	M	2	z
PPC0	M	2	z
PPC0	M	2	z
PPC0	M	2	z
PPC0	M	2	z
PPC0	M	2	sh
PPC0	M	2	sh
PPC0	M	2	sh
PPC0	M	2	sh
PPC0	M	2	sh
PPC0	M	2	sh
PPC0	M	2	sh
PPC0	M	2	f
PPC0	M	2	f
PPC0	M	2	f
PPC0	M	2	f
PPC0	M	2	f
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	h#
PPC0	M	2	pau
