ID	Sex	DR	Vowel
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	iy
PRD0	M	3	aa
PRD0	M	3	aa
PRD0	M	3	aa
PRD0	M	3	aa
PRD0	M	3	aa
PRD0	M	3	aa
PRD0	M	3	aa
PRD0	M	3	uh
PRD0	M	3	uh
PRD0	M	3	uh
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	s
PRD0	M	3	z
PRD0	M	3	z
PRD0	M	3	z
PRD0	M	3	z
PRD0	M	3	sh
PRD0	M	3	sh
PRD0	M	3	sh
PRD0	M	3	sh
PRD0	M	3	f
PRD0	M	3	f
PRD0	M	3	f
PRD0	M	3	f
PRD0	M	3	f
PRD0	M	3	f
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	h#
PRD0	M	3	pau
PRD0	M	3	pau
