ID	Sex	DR	Vowel
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	iy
REW0	F	4	aa
REW0	F	4	aa
REW0	F	4	aa
REW0	F	4	aa
REW0	F	4	aa
REW0	F	4	aa
REW0	F	4	uh
REW0	F	4	uh
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	s
REW0	F	4	z
REW0	F	4	z
REW0	F	4	z
REW0	F	4	z
REW0	F	4	sh
REW0	F	4	sh
REW0	F	4	sh
REW0	F	4	sh
REW0	F	4	sh
REW0	F	4	sh
REW0	F	4	sh
REW0	F	4	f
REW0	F	4	f
REW0	F	4	f
REW0	F	4	f
REW0	F	4	f
REW0	F	4	f
REW0	F	4	f
REW0	F	4	f
REW0	F	4	f
REW0	F	4	f
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
REW0	F	4	h#
