ID	Sex	DR	Vowel
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	s
RHL0	M	2	z
RHL0	M	2	z
RHL0	M	2	z
RHL0	M	2	z
RHL0	M	2	z
RHL0	M	2	z
RHL0	M	2	z
RHL0	M	2	z
RHL0	M	2	z
RHL0	M	2	sh
RHL0	M	2	sh
RHL0	M	2	sh
RHL0	M	2	sh
RHL0	M	2	sh
RHL0	M	2	sh
RHL0	M	2	f
RHL0	M	2	f
RHL0	M	2	f
RHL0	M	2	f
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
RHL0	M	2	h#
