ID	Sex	DR	Vowel
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	iy
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	aa
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	s
SEM0	F	4	z
SEM0	F	4	z
SEM0	F	4	z
SEM0	F	4	z
SEM0	F	4	z
SEM0	F	4	sh
SEM0	F	4	sh
SEM0	F	4	sh
SEM0	F	4	sh
SEM0	F	4	sh
SEM0	F	4	sh
SEM0	F	4	sh
SEM0	F	4	f
SEM0	F	4	f
SEM0	F	4	f
SEM0	F	4	f
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	h#
SEM0	F	4	pau
SEM0	F	4	pau
SEM0	F	4	pau
