ID	Sex	DR	Vowel
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	iy
SFH0	M	4	aa
SFH0	M	4	aa
SFH0	M	4	aa
SFH0	M	4	aa
SFH0	M	4	aa
SFH0	M	4	aa
SFH0	M	4	aa
SFH0	M	4	aa
SFH0	M	4	uh
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	s
SFH0	M	4	z
SFH0	M	4	z
SFH0	M	4	z
SFH0	M	4	z
SFH0	M	4	z
SFH0	M	4	z
SFH0	M	4	z
SFH0	M	4	z
SFH0	M	4	sh
SFH0	M	4	sh
SFH0	M	4	sh
SFH0	M	4	f
SFH0	M	4	f
SFH0	M	4	f
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	h#
SFH0	M	4	pau
SFH0	M	4	pau
SFH0	M	4	pau
SFH0	M	4	pau
SFH0	M	4	pau
SFH0	M	4	pau
SFH0	M	4	pau
