ID	Sex	DR	Vowel
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	iy
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	aa
SJK0	M	6	uh
SJK0	M	6	uh
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	s
SJK0	M	6	z
SJK0	M	6	z
SJK0	M	6	z
SJK0	M	6	z
SJK0	M	6	z
SJK0	M	6	z
SJK0	M	6	z
SJK0	M	6	z
SJK0	M	6	z
SJK0	M	6	sh
SJK0	M	6	sh
SJK0	M	6	sh
SJK0	M	6	sh
SJK0	M	6	f
SJK0	M	6	f
SJK0	M	6	f
SJK0	M	6	f
SJK0	M	6	f
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	h#
SJK0	M	6	pau
SJK0	M	6	pau
SJK0	M	6	pau
