ID	Sex	DR	Vowel
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	iy
SLB1	F	2	aa
SLB1	F	2	aa
SLB1	F	2	aa
SLB1	F	2	aa
SLB1	F	2	aa
SLB1	F	2	uh
SLB1	F	2	uh
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	s
SLB1	F	2	z
SLB1	F	2	z
SLB1	F	2	z
SLB1	F	2	z
SLB1	F	2	sh
SLB1	F	2	sh
SLB1	F	2	sh
SLB1	F	2	sh
SLB1	F	2	sh
SLB1	F	2	sh
SLB1	F	2	f
SLB1	F	2	f
SLB1	F	2	f
SLB1	F	2	f
SLB1	F	2	f
SLB1	F	2	f
SLB1	F	2	f
SLB1	F	2	f
SLB1	F	2	f
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	h#
SLB1	F	2	pau
SLB1	F	2	pau
SLB1	F	2	pau
