ID	Sex	DR	Vowel
SRR0	M	5	iy
SRR0	M	5	iy
SRR0	M	5	iy
SRR0	M	5	iy
SRR0	M	5	iy
SRR0	M	5	iy
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	aa
SRR0	M	5	uh
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	s
SRR0	M	5	z
SRR0	M	5	z
SRR0	M	5	z
SRR0	M	5	z
SRR0	M	5	z
SRR0	M	5	sh
SRR0	M	5	sh
SRR0	M	5	sh
SRR0	M	5	sh
SRR0	M	5	sh
SRR0	M	5	f
SRR0	M	5	f
SRR0	M	5	f
SRR0	M	5	f
SRR0	M	5	f
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
SRR0	M	5	h#
