ID	Sex	DR	Vowel
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	iy
TAB0	M	7	aa
TAB0	M	7	aa
TAB0	M	7	aa
TAB0	M	7	aa
TAB0	M	7	aa
TAB0	M	7	aa
TAB0	M	7	aa
TAB0	M	7	aa
TAB0	M	7	uh
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	s
TAB0	M	7	z
TAB0	M	7	z
TAB0	M	7	z
TAB0	M	7	z
TAB0	M	7	z
TAB0	M	7	z
TAB0	M	7	z
TAB0	M	7	z
TAB0	M	7	z
TAB0	M	7	sh
TAB0	M	7	sh
TAB0	M	7	f
TAB0	M	7	f
TAB0	M	7	f
TAB0	M	7	f
TAB0	M	7	f
TAB0	M	7	f
TAB0	M	7	f
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	h#
TAB0	M	7	pau
TAB0	M	7	pau
TAB0	M	7	pau
TAB0	M	7	pau
TAB0	M	7	pau
TAB0	M	7	pau
