ID	Sex	DR	Vowel
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	iy
TDT0	M	3	aa
TDT0	M	3	aa
TDT0	M	3	aa
TDT0	M	3	aa
TDT0	M	3	aa
TDT0	M	3	uh
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	s
TDT0	M	3	z
TDT0	M	3	z
TDT0	M	3	z
TDT0	M	3	z
TDT0	M	3	z
TDT0	M	3	z
TDT0	M	3	z
TDT0	M	3	z
TDT0	M	3	z
TDT0	M	3	sh
TDT0	M	3	sh
TDT0	M	3	f
TDT0	M	3	f
TDT0	M	3	f
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
TDT0	M	3	h#
