ID	Sex	DR	Vowel
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	uh
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	sh
WGR0	M	3	sh
WGR0	M	3	sh
WGR0	M	3	sh
WGR0	M	3	sh
WGR0	M	3	f
WGR0	M	3	f
WGR0	M	3	f
WGR0	M	3	f
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	h#
WGR0	M	3	pau
