ID	Sex	DR	Vowel	Context
BMJ0	F	4	iy	sh_iy_hv
BMJ0	F	4	iy	r_iy_z
BMJ0	F	4	iy	z_iy_w
BMJ0	F	4	iy	m_iy_dx
BMJ0	F	4	iy	r_iy_ix
BMJ0	F	4	iy	k_iy_pcl
BMJ0	F	4	iy	b_iy_hv
BMJ0	F	4	iy	p_iy_tcl
BMJ0	F	4	iy	w_iy_gcl
BMJ0	F	4	aa	d_aa_r
BMJ0	F	4	aa	jh_aa_bcl
BMJ0	F	4	aa	jh_aa_n
BMJ0	F	4	aa	p_aa_z
BMJ0	F	4	aa	r_aa_bcl
BMJ0	F	4	aa	l_aa_sh
BMJ0	F	4	aa	gcl_aa_r
BMJ0	F	4	aa	g_aa_tcl
BMJ0	F	4	uh	y_uh_l
BMJ0	F	4	uh	p_uh_sh
BMJ0	F	4	s	h#_sh_iy
BMJ0	F	4	s	k_s_ux
BMJ0	F	4	s	ao_sh_epi
BMJ0	F	4	s	ae_s_kcl
BMJ0	F	4	s	th_sh_ah
BMJ0	F	4	s	h#_s_ah
BMJ0	F	4	s	axr_s_pcl
BMJ0	F	4	s	ih_s_epi
BMJ0	F	4	s	uh_sh_pau
BMJ0	F	4	s	k_s_pcl
BMJ0	F	4	s	tcl_s_pau
BMJ0	F	4	s	kcl_s_pcl
BMJ0	F	4	s	n_sh_ix
BMJ0	F	4	s	ih_s_ah
BMJ0	F	4	s	eh_s_kcl
BMJ0	F	4	s	aa_sh_f
BMJ0	F	4	s	ux_s_bcl
BMJ0	F	4	z	iy_z_iy
BMJ0	F	4	z	uw_z_epi
BMJ0	F	4	z	b_z_er
BMJ0	F	4	z	ih_z_axr
BMJ0	F	4	z	ih_z_hv
BMJ0	F	4	z	aa_z_ix
BMJ0	F	4	z	ax_z_ah
BMJ0	F	4	z	ih_z_epi
BMJ0	F	4	z	ix_z_er
BMJ0	F	4	z	th_z_ih
BMJ0	F	4	z	g_z_ae
BMJ0	F	4	z	ow_z_gcl
BMJ0	F	4	sh	h#_sh_iy
BMJ0	F	4	sh	ao_sh_epi
BMJ0	F	4	sh	th_sh_ah
BMJ0	F	4	sh	uh_sh_pau
BMJ0	F	4	sh	n_sh_ix
BMJ0	F	4	sh	aa_sh_f
BMJ0	F	4	f	ax_f_r
BMJ0	F	4	f	ih_f_y
BMJ0	F	4	f	sh_f_ax
BMJ0	F	4	f	ay_f_ao
BMJ0	F	4	f	t_f_r
