ID	Sex	DR	Vowel	Context
DWA0	M	5	iy	sh_iy_hv
DWA0	M	5	iy	r_iy_z
DWA0	M	5	iy	er_iy_ix
DWA0	M	5	iy	w_iy_n
DWA0	M	5	iy	d_iy_pcl
DWA0	M	5	iy	l_iy_m
DWA0	M	5	iy	m_iy_n
DWA0	M	5	iy	r_iy_m
DWA0	M	5	iy	n_iy_kcl
DWA0	M	5	iy	t_iy_v
DWA0	M	5	iy	r_iy_aw
DWA0	M	5	iy	sh_iy_ix
DWA0	M	5	aa	d_aa_r
DWA0	M	5	aa	f_aa_l
DWA0	M	5	aa	w_aa_nx
DWA0	M	5	aa	r_aa_pcl
DWA0	M	5	aa	t_aa_l
DWA0	M	5	s	h#_sh_iy
DWA0	M	5	s	kcl_s_ux
DWA0	M	5	s	r_sh_epi
DWA0	M	5	s	ae_s_kcl
DWA0	M	5	s	ix_sh_er
DWA0	M	5	s	n_s_dh
DWA0	M	5	s	ng_s_tcl
DWA0	M	5	s	tcl_s_h#
DWA0	M	5	s	h#_s_tcl
DWA0	M	5	s	axr_s_epi
DWA0	M	5	s	h#_sh_iy
DWA0	M	5	z	iy_z_ix
DWA0	M	5	z	ah_z_ax
DWA0	M	5	z	ax_z_r
DWA0	M	5	z	n_z_r
DWA0	M	5	z	ay_z_ix
DWA0	M	5	z	m_z_ax
DWA0	M	5	z	m_z_ng
DWA0	M	5	z	axr_z_ix
DWA0	M	5	z	l_z_h#
DWA0	M	5	z	ae_zh_m
DWA0	M	5	z	ix_z_v
DWA0	M	5	z	axr_z_h#
DWA0	M	5	z	ix_z_th
DWA0	M	5	z	ax_z_ax
DWA0	M	5	z	axr_z_axr
DWA0	M	5	z	l_z_h#
DWA0	M	5	sh	h#_sh_iy
DWA0	M	5	sh	r_sh_epi
DWA0	M	5	sh	ix_sh_er
DWA0	M	5	sh	h#_sh_iy
DWA0	M	5	f	kcl_f_r
DWA0	M	5	f	el_f_aa
DWA0	M	5	f	ae_f_ix
DWA0	M	5	f	tcl_f_axr
