ID	Sex	DR	Vowel	Context
EXM0	F	5	iy	sh_iy_hh
EXM0	F	5	iy	r_iy_s
EXM0	F	5	iy	s_iy_w
EXM0	F	5	iy	m_iy_dx
EXM0	F	5	iy	hh_iy_th
EXM0	F	5	iy	m_iy_m
EXM0	F	5	iy	dh_iy_q
EXM0	F	5	iy	l_iy_z
EXM0	F	5	iy	s_iy_r
EXM0	F	5	iy	w_iy_w
EXM0	F	5	iy	n_iy_n
EXM0	F	5	iy	q_iy_tcl
EXM0	F	5	iy	y_iy_axr
EXM0	F	5	aa	d_aa_r
EXM0	F	5	aa	k_aa_n
EXM0	F	5	aa	p_aa_r
EXM0	F	5	aa	sh_aa_kcl
EXM0	F	5	aa	p_aa_l
EXM0	F	5	aa	g_aa_r
EXM0	F	5	s	h#_sh_iy
EXM0	F	5	s	k_s_uw
EXM0	F	5	s	iy_s_iy
EXM0	F	5	s	ao_sh_w
EXM0	F	5	s	ae_s_kcl
EXM0	F	5	s	er_s_dh
EXM0	F	5	s	k_s_ow
EXM0	F	5	s	ey_sh_ix
EXM0	F	5	s	v_s_ah
EXM0	F	5	s	ae_s_ax
EXM0	F	5	s	ax_s_ao
EXM0	F	5	s	tcl_s_f
EXM0	F	5	s	tcl_s_ao
EXM0	F	5	s	ao_s_ix
EXM0	F	5	s	ix_s_ah
EXM0	F	5	s	er_sh_aa
EXM0	F	5	s	epi_s_h#
EXM0	F	5	s	th_s_tcl
EXM0	F	5	s	ix_s_iy
EXM0	F	5	s	ey_s_epi
EXM0	F	5	s	ux_s_tcl
EXM0	F	5	s	tcl_s_q
EXM0	F	5	z	ay_z_ih
EXM0	F	5	z	ax_z_n
EXM0	F	5	z	ix_z_h#
EXM0	F	5	z	ow_zh_er
EXM0	F	5	z	iy_z_kcl
EXM0	F	5	sh	h#_sh_iy
EXM0	F	5	sh	ao_sh_w
EXM0	F	5	sh	ey_sh_ix
EXM0	F	5	sh	er_sh_aa
EXM0	F	5	f	n_f_axr
EXM0	F	5	f	s_f_ax
EXM0	F	5	f	n_f_er
