ID	Sex	DR	Vowel	Context
GAK0	M	7	iy	sh_iy_hv
GAK0	M	7	iy	r_iy_s
GAK0	M	7	iy	m_iy_dcl
GAK0	M	7	iy	r_iy_ix
GAK0	M	7	iy	l_iy_r
GAK0	M	7	iy	dh_iy_eh
GAK0	M	7	iy	dh_iy_q
GAK0	M	7	iy	hh_iy_r
GAK0	M	7	iy	r_iy_hv
GAK0	M	7	iy	hv_iy_hv
GAK0	M	7	iy	l_iy_h#
GAK0	M	7	iy	n_iy_kcl
GAK0	M	7	iy	l_iy_hv
GAK0	M	7	iy	l_iy_h#
GAK0	M	7	aa	d_aa_r
GAK0	M	7	aa	w_aa_sh
GAK0	M	7	aa	hh_aa_r
GAK0	M	7	aa	r_aa_gcl
GAK0	M	7	aa	el_aa_dcl
GAK0	M	7	aa	w_aa_s
GAK0	M	7	aa	t_aa_pcl
GAK0	M	7	aa	p_aa_kcl
GAK0	M	7	aa	k_aa_tcl
GAK0	M	7	uh	k_uh_dcl
GAK0	M	7	s	h#_sh_iy
GAK0	M	7	s	k_s_ux
GAK0	M	7	s	iy_s_ix
GAK0	M	7	s	aa_sh_epi
GAK0	M	7	s	ae_s_kcl
GAK0	M	7	s	ix_s_ih
GAK0	M	7	s	ih_s_ah
GAK0	M	7	s	ih_s_tcl
GAK0	M	7	s	tcl_s_h#
GAK0	M	7	s	ih_s_tcl
GAK0	M	7	s	eh_s_epi
GAK0	M	7	s	ix_s_tcl
GAK0	M	7	s	h#_s_epi
GAK0	M	7	s	eh_s_kcl
GAK0	M	7	s	m_s_f
GAK0	M	7	s	k_s_h#
GAK0	M	7	s	h#_s_tcl
GAK0	M	7	s	ax_s_ay
GAK0	M	7	s	ey_s_ix
GAK0	M	7	s	t_s_epi
GAK0	M	7	s	er_s_el
GAK0	M	7	s	ax_s_epi
GAK0	M	7	s	aa_s_pcl
GAK0	M	7	s	k_s_tcl
GAK0	M	7	z	g_z_ih
GAK0	M	7	z	ih_z_ix
GAK0	M	7	z	ix_z_kcl
GAK0	M	7	z	ax_z_ih
GAK0	M	7	z	g_z_bcl
GAK0	M	7	z	ax_z_kcl
GAK0	M	7	sh	h#_sh_iy
GAK0	M	7	sh	aa_sh_epi
GAK0	M	7	f	ih_f_ix
GAK0	M	7	f	s_f_em
GAK0	M	7	f	eh_f_kcl
