ID	Sex	DR	Vowel	Context
HES0	F	5	iy	sh_iy_hv
HES0	F	5	iy	r_iy_s
HES0	F	5	iy	s_iy_w
HES0	F	5	iy	m_iy_dx
HES0	F	5	iy	r_iy_ix
HES0	F	5	iy	l_iy_r
HES0	F	5	iy	w_iy_l
HES0	F	5	iy	w_iy_kcl
HES0	F	5	iy	w_iy_kcl
HES0	F	5	iy	dh_iy_ax
HES0	F	5	iy	r_iy_ix
HES0	F	5	iy	r_iy_tcl
HES0	F	5	iy	jh_iy_h#
HES0	F	5	iy	v_iy_ng
HES0	F	5	iy	r_iy_m
HES0	F	5	iy	w_iy_n
HES0	F	5	iy	r_iy_s
HES0	F	5	aa	d_aa_r
HES0	F	5	aa	p_aa_r
HES0	F	5	aa	q_aa_r
HES0	F	5	aa	p_aa_l
HES0	F	5	aa	ey_aa_n
HES0	F	5	aa	p_aa_pcl
HES0	F	5	aa	m_aa_n
HES0	F	5	s	h#_sh_iy
HES0	F	5	s	k_s_ux
HES0	F	5	s	iy_s_iy
HES0	F	5	s	ao_sh_epi
HES0	F	5	s	ae_s_kcl
HES0	F	5	s	l_s_kcl
HES0	F	5	s	ah_s_tcl
HES0	F	5	s	n_s_kcl
HES0	F	5	s	ix_s_tcl
HES0	F	5	s	tcl_s_q
HES0	F	5	s	ey_s_ix
HES0	F	5	s	en_s_tcl
HES0	F	5	s	k_sh_ix
HES0	F	5	s	ih_s_kcl
HES0	F	5	s	h#_sh_ey
HES0	F	5	s	aw_s_q
HES0	F	5	s	iy_s_ay
HES0	F	5	z	er_z_hh
HES0	F	5	z	aw_z_ix
HES0	F	5	z	ah_z_r
HES0	F	5	z	n_z_h#
HES0	F	5	z	ix_z_h#
HES0	F	5	z	ih_z_ax
HES0	F	5	sh	h#_sh_iy
HES0	F	5	sh	ao_sh_epi
HES0	F	5	sh	k_sh_ix
HES0	F	5	sh	h#_sh_ey
HES0	F	5	f	n_f_r
