ID	Sex	DR	Vowel	Context
HMG0	M	5	iy	sh_iy_hv
HMG0	M	5	iy	r_iy_z
HMG0	M	5	iy	z_iy_w
HMG0	M	5	iy	m_iy_dx
HMG0	M	5	iy	r_iy_ix
HMG0	M	5	iy	l_iy_r
HMG0	M	5	iy	w_iy_ih
HMG0	M	5	iy	dx_iy_f
HMG0	M	5	iy	hh_iy_bcl
HMG0	M	5	iy	l_iy_bcl
HMG0	M	5	iy	w_iy_n
HMG0	M	5	iy	m_iy_tcl
HMG0	M	5	iy	l_iy_s
HMG0	M	5	iy	l_iy_dcl
HMG0	M	5	iy	l_iy_tcl
HMG0	M	5	iy	z_iy_ax
HMG0	M	5	iy	r_iy_iy
HMG0	M	5	iy	iy_iy_v
HMG0	M	5	iy	ow_iy_ng
HMG0	M	5	iy	er_iy_tcl
HMG0	M	5	aa	d_aa_r
HMG0	M	5	aa	w_aa_sh
HMG0	M	5	aa	ch_aa_r
HMG0	M	5	aa	m_aa_m
HMG0	M	5	aa	n_aa_q
HMG0	M	5	aa	f_aa_l
HMG0	M	5	aa	g_aa_r
HMG0	M	5	uh	w_uh_dcl
HMG0	M	5	s	h#_sh_iy
HMG0	M	5	s	k_s_ux
HMG0	M	5	s	aa_sh_epi
HMG0	M	5	s	ae_s_epi
HMG0	M	5	s	k_s_pcl
HMG0	M	5	s	ix_s_f
HMG0	M	5	s	axr_s_h#
HMG0	M	5	s	ow_s_tcl
HMG0	M	5	s	n_s_er
HMG0	M	5	s	iy_s_ow
HMG0	M	5	s	eh_s_tcl
HMG0	M	5	s	ah_s_tcl
HMG0	M	5	s	k_s_pcl
HMG0	M	5	s	ih_s_ix
HMG0	M	5	s	l_s_h#
HMG0	M	5	s	ih_sh_ix
HMG0	M	5	s	kcl_s_ax
HMG0	M	5	s	n_s_h#
HMG0	M	5	s	ix_s_eh
HMG0	M	5	s	l_s_ay
HMG0	M	5	s	f_s_h#
HMG0	M	5	s	tcl_s_uw
HMG0	M	5	z	iy_z_iy
HMG0	M	5	z	ih_z_epi
HMG0	M	5	z	ow_z_eh
HMG0	M	5	z	ah_z_epi
HMG0	M	5	z	ux_z_iy
HMG0	M	5	z	axr_z_epi
HMG0	M	5	z	ux_z_ih
HMG0	M	5	z	n_z_eh
HMG0	M	5	z	en_z_ix
HMG0	M	5	z	ix_z_v
HMG0	M	5	sh	h#_sh_iy
HMG0	M	5	sh	aa_sh_epi
HMG0	M	5	sh	ih_sh_ix
HMG0	M	5	f	iy_f_ay
HMG0	M	5	f	s_f_ih
HMG0	M	5	f	h#_f_ao
HMG0	M	5	f	t_f_aa
HMG0	M	5	f	ae_f_s
