ID	Sex	DR	Vowel	Context
JHI0	M	2	iy	sh_iy_hv
JHI0	M	2	iy	r_iy_s
JHI0	M	2	iy	s_iy_w
JHI0	M	2	iy	m_iy_dx
JHI0	M	2	iy	l_iy_r
JHI0	M	2	iy	l_iy_q
JHI0	M	2	iy	t_iy_w
JHI0	M	2	iy	s_iy_m
JHI0	M	2	iy	m_iy_h#
JHI0	M	2	iy	r_iy_dx
JHI0	M	2	iy	dx_iy_ix
JHI0	M	2	iy	kcl_iy_l
JHI0	M	2	iy	m_iy_pau
JHI0	M	2	iy	r_iy_f
JHI0	M	2	aa	d_aa_r
JHI0	M	2	aa	w_aa_sh
JHI0	M	2	aa	p_aa_s
JHI0	M	2	aa	d_aa_r
JHI0	M	2	s	h#_sh_iy
JHI0	M	2	s	kcl_s_uw
JHI0	M	2	s	iy_s_iy
JHI0	M	2	s	aa_sh_epi
JHI0	M	2	s	ae_s_kcl
JHI0	M	2	s	aa_s_ax-h
JHI0	M	2	s	ey_sh_en
JHI0	M	2	s	ax_s_ih
JHI0	M	2	s	k_s_dcl
JHI0	M	2	s	tcl_s_pau
JHI0	M	2	s	m_s_eh
JHI0	M	2	s	v_s_h#
JHI0	M	2	s	ay_s_ih
JHI0	M	2	s	tcl_s_iy
JHI0	M	2	s	ix_s_ow
JHI0	M	2	s	ow_sh_ax
JHI0	M	2	s	ae_s_tcl
JHI0	M	2	s	ay_s_tcl
JHI0	M	2	s	k_s_tcl
JHI0	M	2	s	ax-h_sh_tcl
JHI0	M	2	s	axr_s_tcl
JHI0	M	2	s	ix_s_tcl
JHI0	M	2	z	ih_z_pcl
JHI0	M	2	z	ay_z_ey
JHI0	M	2	z	en_z_ax
JHI0	M	2	z	ih_z_l
JHI0	M	2	z	ih_z_ix
JHI0	M	2	z	v_zh_ux
JHI0	M	2	z	l_z_h#
JHI0	M	2	sh	h#_sh_iy
JHI0	M	2	sh	aa_sh_epi
JHI0	M	2	sh	ey_sh_en
JHI0	M	2	sh	ow_sh_ax
JHI0	M	2	sh	ax-h_sh_tcl
JHI0	M	2	f	pau_f_y
JHI0	M	2	f	dcl_f_axr
JHI0	M	2	f	iy_f_l
