ID	Sex	DR	Vowel	Context
JKL0	F	2	iy	sh_iy_hv
JKL0	F	2	iy	t_iy_ng
JKL0	F	2	iy	r_iy_s
JKL0	F	2	iy	s_iy_w
JKL0	F	2	iy	m_iy_dx
JKL0	F	2	iy	r_iy_ix
JKL0	F	2	iy	l_iy_r
JKL0	F	2	iy	sh_iy_l
JKL0	F	2	iy	l_iy_h#
JKL0	F	2	iy	r_iy_s
JKL0	F	2	iy	p_iy_dcl
JKL0	F	2	iy	d_iy_ix
JKL0	F	2	iy	t_iy_s
JKL0	F	2	iy	b_iy_n
JKL0	F	2	iy	f_iy_l
JKL0	F	2	aa	d_aa_r
JKL0	F	2	aa	w_aa_sh
JKL0	F	2	aa	w_aa_dx
JKL0	F	2	aa	hh_aa_q
JKL0	F	2	aa	k_aa_m
JKL0	F	2	aa	w_aa_dx
JKL0	F	2	aa	r_aa_s
JKL0	F	2	aa	m_aa_r
JKL0	F	2	aa	z_aa_nx
JKL0	F	2	aa	r_aa_s
JKL0	F	2	uh	l_uh_kcl
JKL0	F	2	s	h#_sh_iy
JKL0	F	2	s	k_s_ux
JKL0	F	2	s	iy_s_iy
JKL0	F	2	s	aa_sh_epi
JKL0	F	2	s	ae_s_kcl
JKL0	F	2	s	aw_sh_iy
JKL0	F	2	s	axr_s_kcl
JKL0	F	2	s	pcl_sh_ix
JKL0	F	2	s	eh_s_ix
JKL0	F	2	s	ix_s_tcl
JKL0	F	2	s	iy_s_hh
JKL0	F	2	s	bcl_s_ao
JKL0	F	2	s	pcl_sh_ix
JKL0	F	2	s	n_s_ay
JKL0	F	2	s	ix_s_eh
JKL0	F	2	s	tcl_s_h#
JKL0	F	2	s	m_s_eh
JKL0	F	2	s	oy_s_ih
JKL0	F	2	s	m_s_eh
JKL0	F	2	s	iy_s_h#
JKL0	F	2	s	aa_s_eh
JKL0	F	2	s	eh_s_oy
JKL0	F	2	s	tcl_s_f
JKL0	F	2	s	ow_s_tcl
JKL0	F	2	s	r_sh_m
JKL0	F	2	s	ae_s_bcl
JKL0	F	2	s	aw_s_kcl
JKL0	F	2	s	aa_s_epi
JKL0	F	2	s	ih_s_ix
JKL0	F	2	z	eh_z_ih
JKL0	F	2	z	ih_z_pcl
JKL0	F	2	z	ih_z_eh
JKL0	F	2	z	ih_z_eh
JKL0	F	2	z	ih_z_m
JKL0	F	2	z	n_z_h#
JKL0	F	2	z	ax_z_aa
JKL0	F	2	sh	h#_sh_iy
JKL0	F	2	sh	aa_sh_epi
JKL0	F	2	sh	aw_sh_iy
JKL0	F	2	sh	pcl_sh_ix
JKL0	F	2	sh	pcl_sh_ix
JKL0	F	2	sh	r_sh_m
JKL0	F	2	f	ow_f_uw
JKL0	F	2	f	dcl_f_r
JKL0	F	2	f	s_f_ah
JKL0	F	2	f	ix_f_iy
