ID	Sex	DR	Vowel	Context
JMG0	F	4	iy	sh_iy_hv
JMG0	F	4	iy	r_iy_z
JMG0	F	4	iy	z_iy_w
JMG0	F	4	iy	y_iy_r
JMG0	F	4	iy	m_iy_dx
JMG0	F	4	iy	r_iy_ix
JMG0	F	4	iy	l_iy_r
JMG0	F	4	iy	l_iy_y
JMG0	F	4	iy	l_iy_hv
JMG0	F	4	iy	l_iy_h#
JMG0	F	4	iy	hh_iy_w
JMG0	F	4	iy	n_iy_q
JMG0	F	4	iy	r_iy_ix
JMG0	F	4	iy	b_iy_tcl
JMG0	F	4	iy	b_iy_dh
JMG0	F	4	aa	d_aa_r
JMG0	F	4	aa	l_aa_kcl
JMG0	F	4	aa	r_aa_pcl
JMG0	F	4	aa	l_aa_q
JMG0	F	4	aa	ch_aa_l
JMG0	F	4	aa	gcl_aa_r
JMG0	F	4	aa	hh_aa_l
JMG0	F	4	aa	l_aa_h#
JMG0	F	4	aa	q_aa_axr
JMG0	F	4	aa	n_aa_q
JMG0	F	4	aa	t_aa_m
JMG0	F	4	uh	b_uh_kcl
JMG0	F	4	s	h#_sh_iy
JMG0	F	4	s	k_s_ux
JMG0	F	4	s	r_sh_epi
JMG0	F	4	s	ae_s_kcl
JMG0	F	4	s	k_s_el
JMG0	F	4	s	n_s_tcl
JMG0	F	4	s	er_s_eh
JMG0	F	4	s	ax-h_s_l
JMG0	F	4	s	ih_s_tcl
JMG0	F	4	s	ae_s_r
JMG0	F	4	s	ey_s_h#
JMG0	F	4	s	ey_sh_ix
JMG0	F	4	s	n_s_h#
JMG0	F	4	s	ih_sh_pcl
JMG0	F	4	s	eh_s_tcl
JMG0	F	4	s	ix_s_epi
JMG0	F	4	s	axr_s_h#
JMG0	F	4	z	iy_z_iy
JMG0	F	4	z	ux_z_dcl
JMG0	F	4	z	eh_z_ax
JMG0	F	4	z	ih_z_ix
JMG0	F	4	z	eh_z_ax
JMG0	F	4	z	ih_z_epi
JMG0	F	4	z	ih_z_dh
JMG0	F	4	z	m_z_f
JMG0	F	4	z	ix_z_ey
JMG0	F	4	z	n_z_ix
JMG0	F	4	z	l_z_f
JMG0	F	4	z	axr_z_h#
JMG0	F	4	z	ih_z_epi
JMG0	F	4	sh	h#_sh_iy
JMG0	F	4	sh	r_sh_epi
JMG0	F	4	sh	ey_sh_ix
JMG0	F	4	sh	ih_sh_pcl
JMG0	F	4	f	tcl_f_ao
JMG0	F	4	f	z_f_er
JMG0	F	4	f	l_f_ow
JMG0	F	4	f	z_f_axr
JMG0	F	4	f	epi_f_axr
