ID	Sex	DR	Vowel	Context
KDR0	M	7	iy	sh_iy_hv
KDR0	M	7	iy	r_iy_s
KDR0	M	7	iy	s_iy_w
KDR0	M	7	iy	m_iy_tcl
KDR0	M	7	iy	r_iy_ix
KDR0	M	7	iy	l_iy_r
KDR0	M	7	iy	l_iy_aa
KDR0	M	7	iy	f_iy_z
KDR0	M	7	iy	n_iy_s
KDR0	M	7	iy	m_iy_kcl
KDR0	M	7	iy	hv_iy_tcl
KDR0	M	7	iy	dx_iy_ow
KDR0	M	7	iy	dh_iy_q
KDR0	M	7	iy	l_iy_pcl
KDR0	M	7	aa	d_aa_r
KDR0	M	7	aa	iy_aa_gcl
KDR0	M	7	aa	s_aa_m
KDR0	M	7	aa	q_aa_r
KDR0	M	7	aa	axr_aa_r
KDR0	M	7	aa	n_aa_v
KDR0	M	7	uh	hh_uh_dcl
KDR0	M	7	s	h#_sh_iy
KDR0	M	7	s	k_s_ux
KDR0	M	7	s	iy_s_iy
KDR0	M	7	s	ao_sh_epi
KDR0	M	7	s	ae_s_kcl
KDR0	M	7	s	h#_s_ax-h
KDR0	M	7	s	ey_sh_en
KDR0	M	7	s	iy_s_aa
KDR0	M	7	s	n_s_f
KDR0	M	7	s	ax_s_ix
KDR0	M	7	s	ix_s_tcl
KDR0	M	7	s	n_s_h#
KDR0	M	7	s	h#_s_w
KDR0	M	7	s	ey_sh_ax
KDR0	M	7	s	ax-h_s_ax
KDR0	M	7	s	bcl_s_l
KDR0	M	7	z	iy_z_q
KDR0	M	7	z	el_z_ax
KDR0	M	7	z	ix_z_r
KDR0	M	7	z	ix_z_er
KDR0	M	7	z	v_z_hh
KDR0	M	7	z	ix_z_ax
KDR0	M	7	z	ux_zh_ix
KDR0	M	7	z	n_z_h#
KDR0	M	7	z	ix_z_hh
KDR0	M	7	z	ix_z_ix
KDR0	M	7	z	oy_z_y
KDR0	M	7	z	ux_z_m
KDR0	M	7	z	ix_z_ey
KDR0	M	7	z	n_z_pcl
KDR0	M	7	z	ix_z_ax-h
KDR0	M	7	sh	h#_sh_iy
KDR0	M	7	sh	ao_sh_epi
KDR0	M	7	sh	ey_sh_en
KDR0	M	7	sh	ey_sh_ax
KDR0	M	7	f	axr_f_iy
KDR0	M	7	f	ao_f_h#
KDR0	M	7	f	s_f_axr
