ID	Sex	DR	Vowel	Context
KJO0	M	2	iy	sh_iy_hv
KJO0	M	2	iy	r_iy_s
KJO0	M	2	iy	s_iy_w
KJO0	M	2	iy	m_iy_dcl
KJO0	M	2	iy	r_iy_ix
KJO0	M	2	iy	k_iy_z
KJO0	M	2	iy	en_iy_z
KJO0	M	2	iy	r_iy_m
KJO0	M	2	iy	q_iy_v
KJO0	M	2	iy	l_iy_s
KJO0	M	2	aa	d_aa_r
KJO0	M	2	aa	w_aa_dx
KJO0	M	2	aa	hh_aa_r
KJO0	M	2	aa	m_aa_ng
KJO0	M	2	aa	g_aa_q
KJO0	M	2	aa	t_aa_pcl
KJO0	M	2	aa	b_aa_ng
KJO0	M	2	uh	r_uh_kcl
KJO0	M	2	s	h#_sh_iy
KJO0	M	2	s	k_s_ux
KJO0	M	2	s	iy_s_iy
KJO0	M	2	s	ao_sh_epi
KJO0	M	2	s	ae_s_kcl
KJO0	M	2	s	ix_s_h#
KJO0	M	2	s	tcl_sh_ux
KJO0	M	2	s	axr_s_tcl
KJO0	M	2	s	n_s_el
KJO0	M	2	s	f_s_kcl
KJO0	M	2	s	t_s_ay
KJO0	M	2	s	ey_sh_en
KJO0	M	2	s	d_s_tcl
KJO0	M	2	s	eh_s_ax
KJO0	M	2	s	iy_s_epi
KJO0	M	2	s	ix_s_epi
KJO0	M	2	s	ix_s_tcl
KJO0	M	2	s	tcl_s_h#
KJO0	M	2	s	pcl_s_ix
KJO0	M	2	s	t_s_tcl
KJO0	M	2	s	t_s_h#
KJO0	M	2	z	iy_z_ax
KJO0	M	2	z	ix_z_tcl
KJO0	M	2	z	ix_z_epi
KJO0	M	2	z	iy_z_epi
KJO0	M	2	z	ix_z_ey
KJO0	M	2	z	pcl_z_ih
KJO0	M	2	z	ih_z_pau
KJO0	M	2	z	m_z_h#
KJO0	M	2	z	ux_z_dcl
KJO0	M	2	z	ow_z_axr
KJO0	M	2	z	ux_z_ix
KJO0	M	2	sh	h#_sh_iy
KJO0	M	2	sh	ao_sh_epi
KJO0	M	2	sh	tcl_sh_ux
KJO0	M	2	sh	ey_sh_en
KJO0	M	2	f	p_f_tcl
KJO0	M	2	f	ao_f_s
KJO0	M	2	f	ix_f_l
