ID	Sex	DR	Vowel	Context
LEL0	M	4	iy	sh_iy_hv
LEL0	M	4	iy	r_iy_z
LEL0	M	4	iy	z_iy_w
LEL0	M	4	iy	m_iy_dx
LEL0	M	4	iy	r_iy_ix
LEL0	M	4	iy	l_iy_r
LEL0	M	4	iy	hh_iy_w
LEL0	M	4	iy	l_iy_ae
LEL0	M	4	iy	hh_iy_ih
LEL0	M	4	iy	t_iy_ih
LEL0	M	4	iy	v_iy_l
LEL0	M	4	iy	n_iy_y
LEL0	M	4	iy	dx_iy_ow
LEL0	M	4	iy	dx_iy_m
LEL0	M	4	iy	dh_iy_ay
LEL0	M	4	iy	dx_iy_aa
LEL0	M	4	iy	l_iy_h#
LEL0	M	4	iy	dh_iy_bcl
LEL0	M	4	iy	r_iy_kcl
LEL0	M	4	iy	l_iy_s
LEL0	M	4	iy	th_iy_m
LEL0	M	4	iy	l_iy_pcl
LEL0	M	4	aa	d_aa_r
LEL0	M	4	aa	ay_aa_l
LEL0	M	4	aa	t_aa_m
LEL0	M	4	aa	iy_aa_dx
LEL0	M	4	aa	b_aa_kcl
LEL0	M	4	s	h#_sh_iy
LEL0	M	4	s	k_s_ux
LEL0	M	4	s	ao_sh_epi
LEL0	M	4	s	ae_s_epi
LEL0	M	4	s	ah_s_eh
LEL0	M	4	s	n_s_pcl
LEL0	M	4	s	oy_s_pcl
LEL0	M	4	s	ix_s_kcl
LEL0	M	4	s	ix_s_tcl
LEL0	M	4	s	ay_s_ix
LEL0	M	4	s	p_s_tcl
LEL0	M	4	s	ix_s_tcl
LEL0	M	4	s	axr_s_tcl
LEL0	M	4	s	ax_s_er
LEL0	M	4	s	tcl_s_pcl
LEL0	M	4	s	ax_s_f
LEL0	M	4	s	g_s_h#
LEL0	M	4	s	iy_s_ih
LEL0	M	4	s	eh_s_tcl
LEL0	M	4	s	ey_s_dcl
LEL0	M	4	s	m_s_kcl
LEL0	M	4	s	pcl_sh_axr
LEL0	M	4	s	k_s_h#
LEL0	M	4	z	iy_z_iy
LEL0	M	4	z	ah_z_pau
LEL0	M	4	z	ae_z_r
LEL0	M	4	z	axr_z_h#
LEL0	M	4	z	ux_z_r
LEL0	M	4	z	ix_z_em
LEL0	M	4	z	em_z_h#
LEL0	M	4	z	oy_z_en
LEL0	M	4	z	m_z_f
LEL0	M	4	sh	h#_sh_iy
LEL0	M	4	sh	ao_sh_epi
LEL0	M	4	sh	pcl_sh_axr
LEL0	M	4	f	d_f_r
LEL0	M	4	f	s_f_ae
LEL0	M	4	f	z_f_ow
