ID	Sex	DR	Vowel	Context
RDM0	M	8	iy	sh_iy_hv
RDM0	M	8	iy	r_iy_z
RDM0	M	8	iy	z_iy_w
RDM0	M	8	iy	l_iy_r
RDM0	M	8	iy	m_iy_ih
RDM0	M	8	iy	d_iy_aa
RDM0	M	8	iy	jh_iy_q
RDM0	M	8	iy	r_iy_z
RDM0	M	8	iy	v_iy_z
RDM0	M	8	iy	jh_iy_tcl
RDM0	M	8	aa	d_aa_r
RDM0	M	8	aa	n_aa_m
RDM0	M	8	aa	w_aa_dx
RDM0	M	8	aa	iy_aa_l
RDM0	M	8	aa	q_aa_nx
RDM0	M	8	uh	w_uh_dx
RDM0	M	8	uh	b_uh_dx
RDM0	M	8	uh	w_uh_dcl
RDM0	M	8	s	h#_sh_iy
RDM0	M	8	s	k_s_ux
RDM0	M	8	s	ao_sh_epi
RDM0	M	8	s	ae_s_kcl
RDM0	M	8	s	n_sh_el
RDM0	M	8	s	ah_s_ow
RDM0	M	8	s	ow_sh_ey
RDM0	M	8	s	ey_sh_ax
RDM0	M	8	s	n_s_tcl
RDM0	M	8	s	n_s_epi
RDM0	M	8	s	m_s_eh
RDM0	M	8	s	n_s_tcl
RDM0	M	8	s	ax_s_ih
RDM0	M	8	s	ax_s_ih
RDM0	M	8	s	ax_s_ih
RDM0	M	8	s	tcl_s_tcl
RDM0	M	8	s	ah_s_ao
RDM0	M	8	s	ux_s_ix
RDM0	M	8	s	ae_sh_epi
RDM0	M	8	s	ax_s_tcl
RDM0	M	8	s	tcl_s_h#
RDM0	M	8	z	iy_z_iy
RDM0	M	8	z	eh_z_ix
RDM0	M	8	z	v_z_ix
RDM0	M	8	z	ux_zh_en
RDM0	M	8	z	epi_z_h#
RDM0	M	8	z	ih_z_n
RDM0	M	8	z	ix_z_h#
RDM0	M	8	z	ix_z_ay
RDM0	M	8	z	ay_z_h#
RDM0	M	8	z	ix_z_hh
RDM0	M	8	z	aw_z_h#
RDM0	M	8	z	iy_z_ih
RDM0	M	8	z	d_z_pau
RDM0	M	8	z	ix_z_w
RDM0	M	8	z	iy_z_epi
RDM0	M	8	z	dcl_z_h#
RDM0	M	8	z	el_z_ax
RDM0	M	8	sh	h#_sh_iy
RDM0	M	8	sh	ao_sh_epi
RDM0	M	8	sh	n_sh_el
RDM0	M	8	sh	ow_sh_ey
RDM0	M	8	sh	ey_sh_ax
RDM0	M	8	sh	ae_sh_epi
RDM0	M	8	f	en_f_l
RDM0	M	8	f	el_f_ao
RDM0	M	8	f	ah_f_epi
