ID	Sex	DR	Vowel	Context
RMH0	M	7	iy	sh_iy_hv
RMH0	M	7	iy	r_iy_s
RMH0	M	7	iy	r_iy_eh
RMH0	M	7	iy	l_iy_r
RMH0	M	7	iy	s_iy_h#
RMH0	M	7	iy	hh_iy_w
RMH0	M	7	iy	t_iy_h#
RMH0	M	7	iy	l_iy_dh
RMH0	M	7	iy	dx_iy_h#
RMH0	M	7	iy	w_iy_l
RMH0	M	7	iy	ch_iy_z
RMH0	M	7	iy	ch_iy_z
RMH0	M	7	iy	b_iy_dx
RMH0	M	7	aa	d_aa_r
RMH0	M	7	aa	w_aa_sh
RMH0	M	7	aa	w_aa_dx
RMH0	M	7	aa	w_aa_kcl
RMH0	M	7	aa	p_aa_n
RMH0	M	7	aa	p_aa_pcl
RMH0	M	7	aa	ey_aa_l
RMH0	M	7	aa	hv_aa_tcl
RMH0	M	7	uh	g_uh_dx
RMH0	M	7	s	h#_sh_iy
RMH0	M	7	s	k_s_ux
RMH0	M	7	s	iy_s_ix
RMH0	M	7	s	aa_sh_epi
RMH0	M	7	s	ae_s_kcl
RMH0	M	7	s	er_s_epi
RMH0	M	7	s	ih_s_ix
RMH0	M	7	s	k_s_pcl
RMH0	M	7	s	n_s_ah
RMH0	M	7	s	ah_s_f
RMH0	M	7	s	ey_sh_en
RMH0	M	7	s	ax_s_iy
RMH0	M	7	s	h#_s_ae
RMH0	M	7	s	ey_sh_epi
RMH0	M	7	s	eh_s_pcl
RMH0	M	7	s	ae_s_ix
RMH0	M	7	s	n_s_ah
RMH0	M	7	s	eh_s_tcl
RMH0	M	7	s	er_s_epi
RMH0	M	7	s	ih_s_tcl
RMH0	M	7	s	tcl_sh_aw
RMH0	M	7	z	oy_z_hh
RMH0	M	7	z	ah_z_ix
RMH0	M	7	z	n_z_ix
RMH0	M	7	z	dcl_z_ix
RMH0	M	7	z	el_z_pau
RMH0	M	7	z	ih_z_f
RMH0	M	7	z	axr_z_ix
RMH0	M	7	z	iy_z_bcl
RMH0	M	7	z	iy_z_h#
RMH0	M	7	z	ix_z_ah
RMH0	M	7	z	axr_z_h#
RMH0	M	7	sh	h#_sh_iy
RMH0	M	7	sh	aa_sh_epi
RMH0	M	7	sh	ey_sh_en
RMH0	M	7	sh	ey_sh_epi
RMH0	M	7	sh	tcl_sh_aw
RMH0	M	7	f	epi_f_r
RMH0	M	7	f	s_f_kcl
RMH0	M	7	f	z_f_axr
RMH0	M	7	f	axr_f_er
