ID	Sex	DR	Vowel	Context
RPP0	M	5	iy	sh_iy_hh
RPP0	M	5	iy	r_iy_s
RPP0	M	5	iy	s_iy_w
RPP0	M	5	iy	m_iy_tcl
RPP0	M	5	iy	r_iy_ax
RPP0	M	5	iy	l_iy_r
RPP0	M	5	iy	dx_iy_ax
RPP0	M	5	iy	r_iy_dcl
RPP0	M	5	iy	t_iy_axr
RPP0	M	5	iy	n_iy_ah
RPP0	M	5	iy	r_iy_h#
RPP0	M	5	iy	hh_iy_s
RPP0	M	5	iy	b_iy_f
RPP0	M	5	iy	l_iy_n
RPP0	M	5	aa	d_aa_r
RPP0	M	5	aa	ux_aa_r
RPP0	M	5	aa	jh_aa_n
RPP0	M	5	s	h#_sh_iy
RPP0	M	5	s	k_s_ux
RPP0	M	5	s	iy_s_iy
RPP0	M	5	s	ao_sh_epi
RPP0	M	5	s	ae_s_epi
RPP0	M	5	s	t_s_ey
RPP0	M	5	s	ey_s_tcl
RPP0	M	5	s	r_s_er
RPP0	M	5	s	iy_s_tcl
RPP0	M	5	s	ih_sh_en
RPP0	M	5	s	ey_s_eh
RPP0	M	5	s	ix_s_h#
RPP0	M	5	s	d_sh_eh
RPP0	M	5	s	ih_sh_f
RPP0	M	5	z	ix_z_ah
RPP0	M	5	z	d_z_y
RPP0	M	5	z	d_z_ao
RPP0	M	5	z	el_z_dh
RPP0	M	5	z	er_z_dcl
RPP0	M	5	z	ey_z_ix
RPP0	M	5	z	g_z_ae
RPP0	M	5	sh	h#_sh_iy
RPP0	M	5	sh	ao_sh_epi
RPP0	M	5	sh	ih_sh_en
RPP0	M	5	sh	d_sh_eh
RPP0	M	5	sh	ih_sh_f
RPP0	M	5	f	axr_f_r
RPP0	M	5	f	dcl_f_axr
RPP0	M	5	f	ae_f_tcl
RPP0	M	5	f	ah_f_h#
RPP0	M	5	f	m_f_r
RPP0	M	5	f	iy_f_ao
RPP0	M	5	f	ix_f_ao
RPP0	M	5	f	eh_f_th
RPP0	M	5	f	n_f_ey
RPP0	M	5	f	ax-h_f_y
RPP0	M	5	f	l_f_ih
RPP0	M	5	f	sh_f_ao
