ID	Sex	DR	Vowel	Context
TDB0	M	2	iy	sh_iy_hv
TDB0	M	2	iy	r_iy_z
TDB0	M	2	iy	z_iy_w
TDB0	M	2	iy	m_iy_dx
TDB0	M	2	iy	r_iy_ax
TDB0	M	2	iy	l_iy_r
TDB0	M	2	iy	hh_iy_hv
TDB0	M	2	iy	f_iy_l
TDB0	M	2	iy	l_iy_ng
TDB0	M	2	iy	hh_iy_w
TDB0	M	2	iy	b_iy_m
TDB0	M	2	iy	l_iy_ng
TDB0	M	2	iy	l_iy_s
TDB0	M	2	iy	l_iy_ax
TDB0	M	2	aa	d_aa_r
TDB0	M	2	aa	w_aa_sh
TDB0	M	2	aa	v_aa_dx
TDB0	M	2	aa	w_aa_dx
TDB0	M	2	aa	k_aa_m
TDB0	M	2	aa	ay_aa_nx
TDB0	M	2	aa	m_aa_m
TDB0	M	2	aa	k_aa_tcl
TDB0	M	2	aa	p_aa_kcl
TDB0	M	2	aa	k_aa_m
TDB0	M	2	uh	g_uh_dcl
TDB0	M	2	s	h#_sh_iy
TDB0	M	2	s	kcl_s_ux
TDB0	M	2	s	aa_sh_epi
TDB0	M	2	s	ae_s_epi
TDB0	M	2	s	ix_s_pau
TDB0	M	2	s	ix_s_pau
TDB0	M	2	s	ih_s_pcl
TDB0	M	2	s	ey_s_eh
TDB0	M	2	s	k_s_q
TDB0	M	2	s	ix_s_ax
TDB0	M	2	s	ix_sh_en
TDB0	M	2	s	iy_s_ao
TDB0	M	2	s	ix_sh_ae
TDB0	M	2	s	t_s_tcl
TDB0	M	2	s	axr_s_kcl
TDB0	M	2	s	ay_s_kcl
TDB0	M	2	s	kcl_s_tcl
TDB0	M	2	s	ax_s_pcl
TDB0	M	2	s	tcl_s_q
TDB0	M	2	s	ix_sh_epi
TDB0	M	2	z	iy_z_iy
TDB0	M	2	z	d_z_dh
TDB0	M	2	z	ng_z_q
TDB0	M	2	z	eh_z_pau
TDB0	M	2	z	el_z_bcl
TDB0	M	2	z	ah_z_q
TDB0	M	2	z	ow_z_epi
TDB0	M	2	sh	h#_sh_iy
TDB0	M	2	sh	aa_sh_epi
TDB0	M	2	sh	ix_sh_en
TDB0	M	2	sh	ix_sh_ae
TDB0	M	2	sh	ix_sh_epi
TDB0	M	2	f	n_f_iy
TDB0	M	2	f	h#_f_ey
TDB0	M	2	f	ay_f_ix
TDB0	M	2	f	ch_f_ah
