ID	Sex	DR	Vowel	Context
TDT0	M	3	iy	sh_iy_hv
TDT0	M	3	iy	r_iy_s
TDT0	M	3	iy	s_iy_w
TDT0	M	3	iy	m_iy_dx
TDT0	M	3	iy	dx_iy_kcl
TDT0	M	3	iy	r_iy_ih
TDT0	M	3	iy	l_iy_r
TDT0	M	3	iy	l_iy_z
TDT0	M	3	iy	m_iy_ix
TDT0	M	3	iy	nx_iy_h#
TDT0	M	3	iy	l_iy_hv
TDT0	M	3	iy	hv_iy_dcl
TDT0	M	3	iy	dx_iy_ih
TDT0	M	3	iy	r_iy_w
TDT0	M	3	iy	l_iy_pcl
TDT0	M	3	iy	m_iy_aw
TDT0	M	3	iy	er_iy_ih
TDT0	M	3	iy	q_iy_tcl
TDT0	M	3	iy	l_iy_q
TDT0	M	3	iy	hh_iy_dx
TDT0	M	3	iy	dx_iy_ng
TDT0	M	3	iy	nx_iy_bcl
TDT0	M	3	iy	k_iy_ng
TDT0	M	3	iy	d_iy_ix
TDT0	M	3	iy	r_iy_tcl
TDT0	M	3	aa	l_aa_dx
TDT0	M	3	aa	s_aa_dcl
TDT0	M	3	aa	p_aa_r
TDT0	M	3	aa	hv_aa_r
TDT0	M	3	aa	k_aa_m
TDT0	M	3	uh	jh_uh_s
TDT0	M	3	s	h#_sh_iy
TDT0	M	3	s	kcl_s_ux
TDT0	M	3	s	iy_s_iy
TDT0	M	3	s	ao_sh_epi
TDT0	M	3	s	ae_s_kcl
TDT0	M	3	s	h#_s_ow
TDT0	M	3	s	uh_s_pcl
TDT0	M	3	s	er_s_tcl
TDT0	M	3	s	ih_s_tcl
TDT0	M	3	s	axr_s_ih
TDT0	M	3	s	ih_s_tcl
TDT0	M	3	s	axr_s_ux
TDT0	M	3	s	tcl_s_epi
TDT0	M	3	s	tcl_s_epi
TDT0	M	3	s	ah_s_ux
TDT0	M	3	s	ih_s_epi
TDT0	M	3	s	ax_s_aa
TDT0	M	3	s	ao_s_kcl
TDT0	M	3	s	n_s_ay
TDT0	M	3	s	ng_s_ih
TDT0	M	3	s	ih_s_tcl
TDT0	M	3	s	ng_s_tcl
TDT0	M	3	s	tcl_s_h#
TDT0	M	3	z	iy_z_bcl
TDT0	M	3	z	axr_z_w
TDT0	M	3	z	ah_z_tcl
TDT0	M	3	z	ah_z_pcl
TDT0	M	3	z	eh_z_hh
TDT0	M	3	z	axr_z_h#
TDT0	M	3	z	g_zh_y
TDT0	M	3	z	axr_z_l
TDT0	M	3	z	ix_z_tcl
TDT0	M	3	sh	h#_sh_iy
TDT0	M	3	sh	ao_sh_epi
TDT0	M	3	f	ax_f_ao
TDT0	M	3	f	ax_f_oy
TDT0	M	3	f	ih_f_w
