ID	Sex	DR	Vowel	Context
TMN0	M	7	iy	sh_iy_hv
TMN0	M	7	iy	r_iy_s
TMN0	M	7	iy	p_iy_s
TMN0	M	7	iy	m_iy_n
TMN0	M	7	iy	k_iy_pcl
TMN0	M	7	iy	s_iy_tcl
TMN0	M	7	iy	s_iy_m
TMN0	M	7	iy	s_iy_z
TMN0	M	7	iy	er_iy_aa
TMN0	M	7	iy	dx_iy_ih
TMN0	M	7	iy	m_iy_dx
TMN0	M	7	iy	dx_iy_aa
TMN0	M	7	iy	s_iy_s
TMN0	M	7	iy	th_iy_ix
TMN0	M	7	iy	m_iy_q
TMN0	M	7	iy	l_iy_ix
TMN0	M	7	iy	q_iy_tcl
TMN0	M	7	iy	b_iy_pcl
TMN0	M	7	aa	w_aa_dx
TMN0	M	7	aa	q_aa_l
TMN0	M	7	aa	b_aa_n
TMN0	M	7	aa	hh_aa_s
TMN0	M	7	aa	b_aa_nx
TMN0	M	7	aa	iy_aa_s
TMN0	M	7	aa	iy_aa_kcl
TMN0	M	7	aa	n_aa_q
TMN0	M	7	uh	p_uh_tcl
TMN0	M	7	s	h#_sh_iy
TMN0	M	7	s	k_s_ux
TMN0	M	7	s	iy_s_ix
TMN0	M	7	s	ah_sh_epi
TMN0	M	7	s	ae_s_kcl
TMN0	M	7	s	eh_s_epi
TMN0	M	7	s	ix_s_eh
TMN0	M	7	s	iy_s_ix
TMN0	M	7	s	axr_s_iy
TMN0	M	7	s	tcl_s_bcl
TMN0	M	7	s	ih_s_epi
TMN0	M	7	s	tcl_s_em
TMN0	M	7	s	ih_sh_eng
TMN0	M	7	s	ax_s_th
TMN0	M	7	s	t_s_iy
TMN0	M	7	s	en_s_iy
TMN0	M	7	s	aa_s_pcl
TMN0	M	7	s	ey_sh_ix
TMN0	M	7	s	t_s_epi
TMN0	M	7	s	ax_s_h#
TMN0	M	7	s	aa_s_ix
TMN0	M	7	s	ix_s_iy
TMN0	M	7	s	iy_s_eh
TMN0	M	7	s	ix_s_tcl
TMN0	M	7	s	ix_s_tcl
TMN0	M	7	s	ch_s_tcl
TMN0	M	7	s	g_sh_er
TMN0	M	7	s	ih_sh_el
TMN0	M	7	s	ow_s_pcl
TMN0	M	7	z	ix_z_m
TMN0	M	7	z	oy_z_pau
TMN0	M	7	z	ix_z_ao
TMN0	M	7	z	m_z_eh
TMN0	M	7	z	iy_z_ih
TMN0	M	7	z	n_z_hh
TMN0	M	7	z	ax_z_ey
TMN0	M	7	z	ix_z_w
TMN0	M	7	z	g_z_ix
TMN0	M	7	z	dcl_z_ix
TMN0	M	7	sh	h#_sh_iy
TMN0	M	7	sh	ah_sh_epi
TMN0	M	7	sh	ih_sh_eng
TMN0	M	7	sh	ey_sh_ix
TMN0	M	7	sh	g_sh_er
TMN0	M	7	sh	ih_sh_el
TMN0	M	7	f	em_f_ix
TMN0	M	7	f	ah_f_h#
TMN0	M	7	f	ix_f_ay
TMN0	M	7	f	g_f_ao
TMN0	M	7	f	ah_f_ih
