ID	Sex	DR	Vowel	Context
TMT0	M	5	iy	sh_iy_hv
TMT0	M	5	iy	r_iy_z
TMT0	M	5	iy	z_iy_w
TMT0	M	5	iy	m_iy_dx
TMT0	M	5	iy	r_iy_ix
TMT0	M	5	iy	l_iy_r
TMT0	M	5	iy	hh_iy_eh
TMT0	M	5	iy	b_iy_pau
TMT0	M	5	iy	hh_iy_bcl
TMT0	M	5	iy	b_iy_kcl
TMT0	M	5	iy	dh_iy_q
TMT0	M	5	iy	el_iy_v
TMT0	M	5	iy	d_iy_l
TMT0	M	5	iy	sh_iy_n
TMT0	M	5	iy	v_iy_z
TMT0	M	5	iy	dh_iy_ix
TMT0	M	5	iy	dx_iy_ng
TMT0	M	5	iy	p_iy_pcl
TMT0	M	5	iy	dx_iy_z
TMT0	M	5	iy	nx_iy_f
TMT0	M	5	iy	d_iy_z
TMT0	M	5	aa	d_aa_r
TMT0	M	5	aa	s_aa_gcl
TMT0	M	5	aa	p_aa_r
TMT0	M	5	aa	l_aa_tcl
TMT0	M	5	aa	r_aa_nx
TMT0	M	5	aa	l_aa_dcl
TMT0	M	5	aa	r_aa_s
TMT0	M	5	s	h#_sh_iy
TMT0	M	5	s	k_s_ux
TMT0	M	5	s	ao_sh_w
TMT0	M	5	s	ae_s_epi
TMT0	M	5	s	ax_s_aa
TMT0	M	5	s	t_s_tcl
TMT0	M	5	s	n_s_ao
TMT0	M	5	s	t_s_ax
TMT0	M	5	s	en_s_ax
TMT0	M	5	s	ax_sh_iy
TMT0	M	5	s	tcl_s_ah
TMT0	M	5	s	v_s_ah
TMT0	M	5	s	tcl_s_q
TMT0	M	5	s	h#_sh_ih
TMT0	M	5	s	ow_s_f
TMT0	M	5	s	ae_s_ix
TMT0	M	5	s	aa_s_eh
TMT0	M	5	s	eh_s_h#
TMT0	M	5	s	ih_s_ax-h
TMT0	M	5	s	en_s_ux
TMT0	M	5	s	n_s_ih
TMT0	M	5	z	iy_z_iy
TMT0	M	5	z	eh_z_hh
TMT0	M	5	z	ax_z_epi
TMT0	M	5	z	ao_z_q
TMT0	M	5	z	ay_z_en
TMT0	M	5	z	ux_z_dcl
TMT0	M	5	z	iy_z_hh
TMT0	M	5	z	el_z_h#
TMT0	M	5	z	ix_z_ey
TMT0	M	5	z	iy_z_h#
TMT0	M	5	z	iy_z_ix
TMT0	M	5	sh	h#_sh_iy
TMT0	M	5	sh	ao_sh_w
TMT0	M	5	sh	ax_sh_iy
TMT0	M	5	sh	h#_sh_ih
TMT0	M	5	f	ah_f_ao
TMT0	M	5	f	s_f_ae
TMT0	M	5	f	iy_f_r
