ID	Sex	DR	Vowel	Context
TPR0	M	7	iy	sh_iy_hv
TPR0	M	7	iy	r_iy_s
TPR0	M	7	iy	s_iy_w
TPR0	M	7	iy	m_iy_tcl
TPR0	M	7	iy	n_iy_f
TPR0	M	7	iy	l_iy_dcl
TPR0	M	7	iy	hh_iy_hh
TPR0	M	7	iy	l_iy_ax
TPR0	M	7	iy	w_iy_pcl
TPR0	M	7	iy	dx_iy_ah
TPR0	M	7	iy	dx_iy_ix
TPR0	M	7	iy	f_iy_tcl
TPR0	M	7	iy	ux_iy_q
TPR0	M	7	aa	d_aa_r
TPR0	M	7	aa	w_aa_dx
TPR0	M	7	aa	p_aa_l
TPR0	M	7	aa	d_aa_r
TPR0	M	7	aa	dh_aa_hh
TPR0	M	7	aa	hh_aa_dx
TPR0	M	7	aa	b_aa_s
TPR0	M	7	aa	uw_aa_r
TPR0	M	7	aa	n_aa_tcl
TPR0	M	7	uh	y_uh_dcl
TPR0	M	7	uh	b_uh_kcl
TPR0	M	7	s	h#_sh_iy
TPR0	M	7	s	k_s_ux
TPR0	M	7	s	iy_s_iy
TPR0	M	7	s	r_sh_epi
TPR0	M	7	s	ae_s_kcl
TPR0	M	7	s	r_sh_tcl
TPR0	M	7	s	m_s_eh
TPR0	M	7	s	ih_sh_dcl
TPR0	M	7	s	n_sh_ih
TPR0	M	7	s	tcl_s_h#
TPR0	M	7	s	aa_s_tcl
TPR0	M	7	s	n_sh_ao
TPR0	M	7	s	k_s_hh
TPR0	M	7	s	epi_s_h#
TPR0	M	7	s	eh_s_tcl
TPR0	M	7	s	tcl_s_pau
TPR0	M	7	s	ng_s_tcl
TPR0	M	7	z	ix_z_hh
TPR0	M	7	z	ae_z_epi
TPR0	M	7	z	ae_z_kcl
TPR0	M	7	z	er_z_w
TPR0	M	7	z	ix_z_eh
TPR0	M	7	z	ow_z_hh
TPR0	M	7	z	ux_z_kcl
TPR0	M	7	z	eh_zh_tcl
TPR0	M	7	z	el_z_epi
TPR0	M	7	sh	h#_sh_iy
TPR0	M	7	sh	r_sh_epi
TPR0	M	7	sh	r_sh_tcl
TPR0	M	7	sh	ih_sh_dcl
TPR0	M	7	sh	n_sh_ih
TPR0	M	7	sh	n_sh_ao
TPR0	M	7	f	n_f_ao
TPR0	M	7	f	l_f_pau
TPR0	M	7	f	iy_f_ay
TPR0	M	7	f	r_f_ah
TPR0	M	7	f	d_f_iy
TPR0	M	7	f	er_f_el
TPR0	M	7	f	el_f_eh
