ID	Sex	DR	Vowel	Context
TRR0	M	1	iy	sh_iy_hv
TRR0	M	1	iy	r_iy_s
TRR0	M	1	iy	s_iy_w
TRR0	M	1	iy	m_iy_dx
TRR0	M	1	iy	r_iy_eh
TRR0	M	1	iy	k_iy_s
TRR0	M	1	iy	w_iy_n
TRR0	M	1	iy	dx_iy_ix
TRR0	M	1	iy	w_iy_dcl
TRR0	M	1	iy	k_iy_ix
TRR0	M	1	iy	z_iy_ix
TRR0	M	1	aa	d_aa_r
TRR0	M	1	aa	hh_aa_tcl
TRR0	M	1	aa	hv_aa_m
TRR0	M	1	aa	k_aa_m
TRR0	M	1	aa	v_aa_dx
TRR0	M	1	aa	uw_aa_kcl
TRR0	M	1	aa	l_aa_dcl
TRR0	M	1	uh	w_uh_l
TRR0	M	1	uh	jh_uh_s
TRR0	M	1	s	h#_sh_iy
TRR0	M	1	s	k_s_ux
TRR0	M	1	s	iy_s_iy
TRR0	M	1	s	ao_sh_epi
TRR0	M	1	s	ae_s_epi
TRR0	M	1	s	iy_s_eh
TRR0	M	1	s	f_s_aw
TRR0	M	1	s	ix_s_kcl
TRR0	M	1	s	ih_s_tcl
TRR0	M	1	s	tcl_s_ah
TRR0	M	1	s	ao_s_epi
TRR0	M	1	s	n_s_epi
TRR0	M	1	s	ah_sh_f
TRR0	M	1	s	ah_sh_ax
TRR0	M	1	s	uh_s_ao
TRR0	M	1	z	axr_z_kcl
TRR0	M	1	z	l_z_h#
TRR0	M	1	z	ax_z_bcl
TRR0	M	1	z	ey_z_hh
TRR0	M	1	z	m_z_ah
TRR0	M	1	z	n_z_w
TRR0	M	1	z	ih_z_ah
TRR0	M	1	z	m_z_epi
TRR0	M	1	z	axr_z_ax
TRR0	M	1	z	ux_z_iy
TRR0	M	1	sh	h#_sh_iy
TRR0	M	1	sh	ao_sh_epi
TRR0	M	1	sh	ah_sh_f
TRR0	M	1	sh	ah_sh_ax
TRR0	M	1	f	ao_f_s
TRR0	M	1	f	d_f_r
TRR0	M	1	f	sh_f_ay
