ID	Sex	DR	Phone	Context
JDC0	M	4	iy	sh_iy_hv
JDC0	M	4	iy	r_iy_z
JDC0	M	4	iy	z_iy_w
JDC0	M	4	iy	m_iy_dx
JDC0	M	4	iy	r_iy_ix
JDC0	M	4	iy	dh_iy_tcl
JDC0	M	4	iy	hv_iy_gcl
JDC0	M	4	iy	l_iy_r
JDC0	M	4	iy	hh_iy_s
JDC0	M	4	iy	r_iy_f
JDC0	M	4	iy	l_iy_pau
JDC0	M	4	iy	l_iy_tcl
JDC0	M	4	iy	jh_iy_ng
JDC0	M	4	iy	hv_iy_w
JDC0	M	4	iy	dh_iy_y
JDC0	M	4	iy	dx_iy_h#
JDC0	M	4	iy	r_iy_f
JDC0	M	4	iy	d_iy_l
JDC0	M	4	iy	s_iy_h#
JDC0	M	4	aa	d_aa_r
JDC0	M	4	aa	n_aa_q
JDC0	M	4	aa	hh_aa_r
JDC0	M	4	aa	p_aa_s
JDC0	M	4	aa	axr_aa_kcl
JDC0	M	4	uh	f_uh_q
JDC0	M	4	uh	l_uh_kcl
JDC0	M	4	s	h#_sh_iy
JDC0	M	4	s	kcl_s_ux
JDC0	M	4	s	ao_sh_epi
JDC0	M	4	s	ae_s_kcl
JDC0	M	4	s	ch_s_ao
JDC0	M	4	s	tcl_s_h#
JDC0	M	4	s	iy_s_pcl
JDC0	M	4	s	pau_s_eh
JDC0	M	4	s	n_s_ax-h
JDC0	M	4	s	ix_sh_ix
JDC0	M	4	s	ow_s_ix
JDC0	M	4	s	ix_s_epi
JDC0	M	4	s	ix_s_kcl
JDC0	M	4	s	ux_s_ax
JDC0	M	4	s	tcl_s_epi
JDC0	M	4	s	ix_sh_ix
JDC0	M	4	s	ix_s_ih
JDC0	M	4	s	aa_s_bcl
JDC0	M	4	s	axr_s_iy
JDC0	M	4	f	el_f_uh
JDC0	M	4	f	iy_f_l
JDC0	M	4	f	el_f_l
JDC0	M	4	f	iy_f_er
JDC0	M	4	f	kcl_f_axr
