ID	Sex	DR	Phone	Context
JLG0	F	3	iy	sh_iy_hv
JLG0	F	3	iy	r_iy_s
JLG0	F	3	iy	s_iy_w
JLG0	F	3	iy	m_iy_dx
JLG0	F	3	iy	r_iy_ix
JLG0	F	3	iy	l_iy_r
JLG0	F	3	iy	er_iy_ix
JLG0	F	3	iy	l_iy_pau
JLG0	F	3	iy	r_iy_m
JLG0	F	3	iy	b_iy_hv
JLG0	F	3	iy	w_iy_kcl
JLG0	F	3	iy	l_iy_s
JLG0	F	3	iy	s_iy_dh
JLG0	F	3	iy	f_iy_y
JLG0	F	3	iy	er_iy_z
JLG0	F	3	iy	r_iy_kcl
JLG0	F	3	iy	l_iy_h#
JLG0	F	3	iy	r_iy_pcl
JLG0	F	3	iy	er_iy_h#
JLG0	F	3	aa	d_aa_r
JLG0	F	3	aa	f_aa_r
JLG0	F	3	aa	hh_aa_r
JLG0	F	3	uh	k_uh_dcl
JLG0	F	3	s	h#_sh_iy
JLG0	F	3	s	k_s_ux
JLG0	F	3	s	iy_s_iy
JLG0	F	3	s	ao_sh_epi
JLG0	F	3	s	ae_s_kcl
JLG0	F	3	s	axr_s_uw
JLG0	F	3	s	ix_s_epi
JLG0	F	3	s	axr_s_tcl
JLG0	F	3	s	eh_s_epi
JLG0	F	3	s	t_sh_er
JLG0	F	3	s	ah_s_h#
JLG0	F	3	s	iy_s_iy
JLG0	F	3	s	dcl_s_th
JLG0	F	3	s	ax_s_epi
JLG0	F	3	s	t_s_h#
JLG0	F	3	s	ax_s_ih
JLG0	F	3	s	ih_s_tcl
JLG0	F	3	s	n_s_ux
JLG0	F	3	s	n_s_ax
JLG0	F	3	s	ax_s_ey
JLG0	F	3	s	dcl_s_epi
JLG0	F	3	s	eh_sh_l
JLG0	F	3	s	n_s_ao
JLG0	F	3	s	ao_s_f
JLG0	F	3	s	tcl_s_hh
JLG0	F	3	f	t_f_y
JLG0	F	3	f	ax_f_iy
JLG0	F	3	f	ow_f_l
JLG0	F	3	f	el_f_aa
JLG0	F	3	f	axr_f_ay
JLG0	F	3	f	z_f_r
JLG0	F	3	f	l_f_pcl
JLG0	F	3	f	th_f_r
JLG0	F	3	f	s_f_axr
JLG0	F	3	f	el_f_r
JLG0	F	3	f	ax_f_ao
