ID	Sex	DR	Phone	Context
JPM0	M	2	iy	sh_iy_hv
JPM0	M	2	iy	r_iy_s
JPM0	M	2	iy	s_iy_w
JPM0	M	2	iy	m_iy_dx
JPM0	M	2	iy	r_iy_ix
JPM0	M	2	iy	l_iy_r
JPM0	M	2	iy	r_iy_s
JPM0	M	2	iy	r_iy_h#
JPM0	M	2	iy	l_iy_pau
JPM0	M	2	iy	m_iy_l
JPM0	M	2	iy	n_iy_hv
JPM0	M	2	iy	w_iy_zh
JPM0	M	2	iy	k_iy_l
JPM0	M	2	iy	z_iy_ix
JPM0	M	2	aa	d_aa_r
JPM0	M	2	aa	w_aa_sh
JPM0	M	2	aa	d_aa_r
JPM0	M	2	aa	k_aa_m
JPM0	M	2	aa	hh_aa_tcl
JPM0	M	2	aa	hv_aa_r
JPM0	M	2	aa	k_aa_m
JPM0	M	2	aa	uw_aa_r
JPM0	M	2	aa	l_aa_dcl
JPM0	M	2	uh	t_uh_kcl
JPM0	M	2	uh	w_uh_l
JPM0	M	2	uh	jh_uh_s
JPM0	M	2	s	h#_sh_iy
JPM0	M	2	s	k_s_ux
JPM0	M	2	s	iy_s_iy
JPM0	M	2	s	aa_sh_epi
JPM0	M	2	s	ae_s_kcl
JPM0	M	2	s	n_s_ix
JPM0	M	2	s	k_s_eh
JPM0	M	2	s	eh_s_ah
JPM0	M	2	s	v_s_eh
JPM0	M	2	s	iy_s_tcl
JPM0	M	2	s	h#_sh_ix
JPM0	M	2	s	ih_s_kcl
JPM0	M	2	s	ih_s_axr
JPM0	M	2	s	tcl_s_ah
JPM0	M	2	s	r_s_tcl
JPM0	M	2	s	n_s_w
JPM0	M	2	s	ah_sh_f
JPM0	M	2	s	ah_sh_ax
JPM0	M	2	s	uh_s_ao
JPM0	M	2	f	l_f_el
JPM0	M	2	f	dcl_f_r
JPM0	M	2	f	sh_f_ay
