ID	Sex	DR	Phone	Context
KDT0	M	2	iy	sh_iy_hv
KDT0	M	2	iy	r_iy_s
KDT0	M	2	iy	s_iy_w
KDT0	M	2	iy	m_iy_dx
KDT0	M	2	iy	r_iy_ix
KDT0	M	2	iy	l_iy_r
KDT0	M	2	iy	hh_iy_r
KDT0	M	2	iy	l_iy_f
KDT0	M	2	iy	dx_iy_dcl
KDT0	M	2	iy	p_iy_z
KDT0	M	2	iy	n_iy_ng
KDT0	M	2	iy	m_iy_ow
KDT0	M	2	iy	b_iy_r
KDT0	M	2	iy	l_iy_dcl
KDT0	M	2	iy	n_iy_q
KDT0	M	2	iy	l_iy_q
KDT0	M	2	iy	q_iy_v
KDT0	M	2	iy	l_iy_n
KDT0	M	2	iy	n_iy_dcl
KDT0	M	2	aa	d_aa_r
KDT0	M	2	aa	w_aa_sh
KDT0	M	2	aa	q_aa_n
KDT0	M	2	aa	b_aa_dx
KDT0	M	2	aa	w_aa_pcl
KDT0	M	2	aa	k_aa_nx
KDT0	M	2	aa	t_aa_r
KDT0	M	2	s	h#_sh_iy
KDT0	M	2	s	k_s_ux
KDT0	M	2	s	iy_s_iy
KDT0	M	2	s	aa_sh_epi
KDT0	M	2	s	ae_s_kcl
KDT0	M	2	s	l_s_l
KDT0	M	2	s	eh_s_tcl
KDT0	M	2	s	axr_s_tcl
KDT0	M	2	s	t_s_ix
KDT0	M	2	s	axr_s_ae
KDT0	M	2	s	eh_s_ix
KDT0	M	2	s	ah_s_uw
KDT0	M	2	s	ih_s_sh
KDT0	M	2	s	s_sh_eh
KDT0	M	2	s	ih_sh_dcl
KDT0	M	2	s	ih_sh_h#
KDT0	M	2	s	n_s_tcl
KDT0	M	2	s	r_sh_ow
KDT0	M	2	s	ng_s_kcl
KDT0	M	2	s	n_s_tcl
KDT0	M	2	s	kcl_sh_en
KDT0	M	2	s	eh_s_pcl
KDT0	M	2	f	h#_f_ao
KDT0	M	2	f	iy_f_ow
KDT0	M	2	f	epi_f_l
KDT0	M	2	f	ah_f_kcl
KDT0	M	2	f	n_f_ay
KDT0	M	2	f	l_f_ih
