ID	Sex	DR	Phone	Context
KMS0	F	3	iy	sh_iy_hv
KMS0	F	3	iy	r_iy_s
KMS0	F	3	iy	s_iy_w
KMS0	F	3	iy	m_iy_dx
KMS0	F	3	iy	r_iy_ix
KMS0	F	3	iy	l_iy_r
KMS0	F	3	iy	hv_iy_pcl
KMS0	F	3	iy	dh_iy_z
KMS0	F	3	iy	l_iy_v
KMS0	F	3	iy	q_iy_v
KMS0	F	3	iy	l_iy_dcl
KMS0	F	3	iy	l_iy_w
KMS0	F	3	iy	b_iy_w
KMS0	F	3	iy	k_iy_ng
KMS0	F	3	iy	q_iy_tcl
KMS0	F	3	iy	w_iy_kcl
KMS0	F	3	aa	d_aa_r
KMS0	F	3	aa	w_aa_sh
KMS0	F	3	aa	r_aa_dx
KMS0	F	3	aa	q_aa_r
KMS0	F	3	aa	g_aa_gcl
KMS0	F	3	aa	n_aa_tcl
KMS0	F	3	aa	r_aa_f
KMS0	F	3	aa	n_aa_m
KMS0	F	3	s	h#_sh_iy
KMS0	F	3	s	k_s_ux
KMS0	F	3	s	iy_s_iy
KMS0	F	3	s	aa_sh_epi
KMS0	F	3	s	ae_s_kcl
KMS0	F	3	s	p_s_ax
KMS0	F	3	s	p_s_ix
KMS0	F	3	s	ah_s_tcl
KMS0	F	3	s	ax_sh_ih
KMS0	F	3	s	bcl_s_en
KMS0	F	3	s	en_s_ax
KMS0	F	3	s	ah_s_ih
KMS0	F	3	s	f_s_h#
KMS0	F	3	s	k_s_q
KMS0	F	3	s	ix_s_tcl
KMS0	F	3	s	ae_sh_epi
KMS0	F	3	s	er_s_ih
KMS0	F	3	s	ih_s_tcl
KMS0	F	3	s	tcl_s_h#
KMS0	F	3	s	eh_sh_epi
KMS0	F	3	s	ax_s_tcl
KMS0	F	3	s	k_s_pau
KMS0	F	3	f	ao_f_s
KMS0	F	3	f	z_f_r
KMS0	F	3	f	aa_f_ix
