ID	Sex	DR	Phone	Context
RAI0	M	1	iy	sh_iy_hv
RAI0	M	1	iy	r_iy_s
RAI0	M	1	iy	r_iy_ix
RAI0	M	1	iy	l_iy_r
RAI0	M	1	iy	n_iy_pau
RAI0	M	1	iy	hh_iy_w
RAI0	M	1	iy	dh_iy_ix
RAI0	M	1	iy	r_iy_q
RAI0	M	1	iy	b_iy_r
RAI0	M	1	iy	l_iy_v
RAI0	M	1	iy	f_iy_ix
RAI0	M	1	iy	t_iy_pcl
RAI0	M	1	iy	r_iy_q
RAI0	M	1	aa	d_aa_r
RAI0	M	1	aa	b_aa_r
RAI0	M	1	aa	l_aa_dx
RAI0	M	1	aa	ch_aa_r
RAI0	M	1	aa	nx_aa_n
RAI0	M	1	s	h#_sh_iy
RAI0	M	1	s	k_s_ux
RAI0	M	1	s	iy_s_ix
RAI0	M	1	s	ao_sh_epi
RAI0	M	1	s	ae_s_kcl
RAI0	M	1	s	ih_s_pcl
RAI0	M	1	s	ix_s_tcl
RAI0	M	1	s	ix_s_bcl
RAI0	M	1	s	n_s_tcl
RAI0	M	1	s	n_s_tcl
RAI0	M	1	s	l_s_ay
RAI0	M	1	s	ey_s_f
RAI0	M	1	s	r_s_pcl
RAI0	M	1	s	ix_s_bcl
RAI0	M	1	s	n_s_tcl
RAI0	M	1	s	k_s_epi
RAI0	M	1	s	pcl_s_ix
RAI0	M	1	s	h#_s_pcl
RAI0	M	1	s	ng_s_tcl
RAI0	M	1	f	ay_f_el
RAI0	M	1	f	el_f_ay
RAI0	M	1	f	axr_f_r
RAI0	M	1	f	q_f_eh
RAI0	M	1	f	n_f_eh
RAI0	M	1	f	s_f_axr
RAI0	M	1	f	axr_f_l
RAI0	M	1	f	ao_f_iy
