ID	Sex	DR	Phone	Context
SAG0	F	5	iy	sh_iy_hv
SAG0	F	5	iy	r_iy_s
SAG0	F	5	iy	s_iy_w
SAG0	F	5	iy	m_iy_tcl
SAG0	F	5	iy	r_iy_q
SAG0	F	5	iy	l_iy_r
SAG0	F	5	iy	r_iy_r
SAG0	F	5	iy	m_iy_h#
SAG0	F	5	iy	hh_iy_hv
SAG0	F	5	iy	r_iy_dh
SAG0	F	5	iy	dh_iy_q
SAG0	F	5	iy	l_iy_q
SAG0	F	5	iy	t_iy_th
SAG0	F	5	iy	q_iy_dx
SAG0	F	5	iy	dx_iy_ng
SAG0	F	5	iy	jh_iy_ax
SAG0	F	5	iy	r_iy_h#
SAG0	F	5	aa	d_aa_r
SAG0	F	5	aa	w_aa_sh
SAG0	F	5	aa	n_aa_q
SAG0	F	5	aa	q_aa_r
SAG0	F	5	aa	n_aa_tcl
SAG0	F	5	aa	k_aa_n
SAG0	F	5	aa	l_aa_dcl
SAG0	F	5	uh	d_uh_z
SAG0	F	5	s	h#_sh_iy
SAG0	F	5	s	k_s_ux
SAG0	F	5	s	iy_s_iy
SAG0	F	5	s	aa_sh_epi
SAG0	F	5	s	ae_s_epi
SAG0	F	5	s	eh_s_q
SAG0	F	5	s	ix_s_ih
SAG0	F	5	s	ax_s_h#
SAG0	F	5	s	h#_s_kcl
SAG0	F	5	s	ae_s_tcl
SAG0	F	5	s	ay_s_tcl
SAG0	F	5	s	eh_s_tcl
SAG0	F	5	s	eh_s_ey
SAG0	F	5	s	tcl_s_ux
SAG0	F	5	s	ng_sh_eh
SAG0	F	5	s	ih_sh_h#
SAG0	F	5	s	h#_s_epi
SAG0	F	5	s	ae_sh_epi
SAG0	F	5	s	ae_sh_v
SAG0	F	5	s	ih_sh_tcl
SAG0	F	5	f	pau_f_axr
SAG0	F	5	f	ay_f_ax
SAG0	F	5	f	el_f_axr
SAG0	F	5	f	l_f_ih
SAG0	F	5	f	ih_f_tcl
