ID	Sex	DR	Phone	Context
KXL0	M	3	iy	sh_iy_hv
KXL0	M	3	iy	r_iy_s
KXL0	M	3	iy	s_iy_w
KXL0	M	3	iy	m_iy_tcl
KXL0	M	3	iy	r_iy_ax
KXL0	M	3	iy	l_iy_r
KXL0	M	3	iy	n_iy_kcl
KXL0	M	3	iy	l_iy_m
KXL0	M	3	iy	l_iy_gcl
KXL0	M	3	iy	r_iy_z
KXL0	M	3	iy	sh_iy_s
KXL0	M	3	iy	l_iy_dcl
KXL0	M	3	iy	l_iy_tcl
KXL0	M	3	iy	z_iy_ax
KXL0	M	3	iy	r_iy_q
KXL0	M	3	iy	q_iy_v
KXL0	M	3	iy	er_iy_tcl
KXL0	M	3	aa	d_aa_r
KXL0	M	3	aa	w_aa_sh
KXL0	M	3	aa	g_aa_r
KXL0	M	3	uh	y_uh_ix
KXL0	M	3	uh	w_uh_dcl
KXL0	M	3	s	h#_sh_iy
KXL0	M	3	s	k_s_ux
KXL0	M	3	s	iy_s_iy
KXL0	M	3	s	aa_sh_w
KXL0	M	3	s	ae_s_kcl
KXL0	M	3	s	ae_s_tcl
KXL0	M	3	s	m_s_eh
KXL0	M	3	s	er_s_gcl
KXL0	M	3	s	p_s_ax
KXL0	M	3	s	aw_s_ax
KXL0	M	3	s	ao_s_dh
KXL0	M	3	s	ah_sh_iy
KXL0	M	3	s	iy_s_w
KXL0	M	3	s	ah_s_tcl
KXL0	M	3	s	k_s_pcl
KXL0	M	3	s	ih_s_ix
KXL0	M	3	s	ih_sh_en
KXL0	M	3	s	k_s_ax
KXL0	M	3	s	tcl_s_h#
KXL0	M	3	s	ix_s_eh
KXL0	M	3	s	el_s_ay
KXL0	M	3	s	f_s_h#
KXL0	M	3	s	en_s_ux
KXL0	M	3	f	axr_f_el
KXL0	M	3	f	ix_f_eh
KXL0	M	3	f	l_f_ix
KXL0	M	3	f	z_f_er
KXL0	M	3	f	tcl_f_ay
KXL0	M	3	f	ae_f_s
