ID	Sex	DR	Phone	Context
LIH0	M	5	iy	sh_iy_hv
LIH0	M	5	iy	r_iy_s
LIH0	M	5	iy	s_iy_w
LIH0	M	5	iy	l_iy_r
LIH0	M	5	iy	dh_iy_aa
LIH0	M	5	iy	v_iy_aa
LIH0	M	5	iy	t_iy_sh
LIH0	M	5	iy	s_iy_m
LIH0	M	5	iy	t_iy_z
LIH0	M	5	iy	z_iy_ax
LIH0	M	5	iy	m_iy_h#
LIH0	M	5	iy	l_iy_pcl
LIH0	M	5	aa	d_aa_r
LIH0	M	5	aa	iy_aa_bcl
LIH0	M	5	aa	iy_aa_l
LIH0	M	5	aa	sh_aa_l
LIH0	M	5	aa	k_aa_n
LIH0	M	5	aa	n_aa_v
LIH0	M	5	uh	hh_uh_dx
LIH0	M	5	s	h#_sh_iy
LIH0	M	5	s	k_s_uw
LIH0	M	5	s	iy_s_iy
LIH0	M	5	s	ao_sh_epi
LIH0	M	5	s	ae_s_m
LIH0	M	5	s	er_s_ax
LIH0	M	5	s	iy_sh_aa
LIH0	M	5	s	ix_s_iy
LIH0	M	5	s	ow_sh_en
LIH0	M	5	s	ix_s_tcl
LIH0	M	5	s	ix_s_tcl
LIH0	M	5	s	ae_s_ix
LIH0	M	5	s	ih_s_tcl
LIH0	M	5	s	n_s_f
LIH0	M	5	s	ax_s_ix
LIH0	M	5	s	ix_s_tcl
LIH0	M	5	s	tcl_s_h#
LIH0	M	5	s	h#_s_epi
LIH0	M	5	s	ey_sh_ix
LIH0	M	5	s	er_s_l
LIH0	M	5	f	oy_f_ih
LIH0	M	5	f	s_f_r
