ID	Sex	DR	Phone	Context
RKO0	M	4	iy	sh_iy_hv
RKO0	M	4	iy	r_iy_s
RKO0	M	4	iy	s_iy_w
RKO0	M	4	iy	m_iy_dx
RKO0	M	4	iy	r_iy_ix
RKO0	M	4	iy	l_iy_r
RKO0	M	4	iy	d_iy_s
RKO0	M	4	iy	ch_iy_dx
RKO0	M	4	iy	r_iy_ix
RKO0	M	4	iy	s_iy_m
RKO0	M	4	iy	dx_iy_ix
RKO0	M	4	iy	l_iy_dcl
RKO0	M	4	aa	d_aa_r
RKO0	M	4	aa	w_aa_axr
RKO0	M	4	aa	b_aa_gcl
RKO0	M	4	aa	m_aa_m
RKO0	M	4	uh	w_uh_dcl
RKO0	M	4	uh	k_uh_kcl
RKO0	M	4	uh	sh_uh_gcl
RKO0	M	4	s	h#_sh_iy
RKO0	M	4	s	kcl_s_ux
RKO0	M	4	s	iy_s_iy
RKO0	M	4	s	r_sh_w
RKO0	M	4	s	ae_s_epi
RKO0	M	4	s	n_s_kcl
RKO0	M	4	s	iy_s_eh
RKO0	M	4	s	ey_sh_en
RKO0	M	4	s	ey_s_ix
RKO0	M	4	s	ix_s_h#
RKO0	M	4	s	l_s_h#
RKO0	M	4	s	k_s_eh
RKO0	M	4	s	eh_s_kcl
RKO0	M	4	s	r_s_iy
RKO0	M	4	s	ih_sh_ix
RKO0	M	4	s	tcl_s_hh
RKO0	M	4	s	tcl_sh_uh
RKO0	M	4	s	t_s_v
RKO0	M	4	s	tcl_s_ax
RKO0	M	4	s	n_s_ih
RKO0	M	4	s	n_s_epi
RKO0	M	4	s	m_s_tcl
RKO0	M	4	s	ix_s_l
RKO0	M	4	s	kcl_s_ae
RKO0	M	4	f	ix_f_q
RKO0	M	4	f	n_f_ao
RKO0	M	4	f	el_f_er
RKO0	M	4	f	ae_f_dcl
RKO0	M	4	f	ih_f_ao
