ID	Sex	DR	Phone	Context
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	r_iy_ix
KDB0	M	7	iy	r_iy_ix
KDB0	M	7	iy	r_iy_ix
KDB0	M	7	iy	r_iy_ix
KDB0	M	7	iy	r_iy_ix
KDB0	M	7	iy	r_iy_ix
KDB0	M	7	iy	r_iy_ix
KDB0	M	7	iy	l_iy_r
KDB0	M	7	iy	l_iy_r
KDB0	M	7	iy	l_iy_r
KDB0	M	7	iy	l_iy_r
KDB0	M	7	iy	l_iy_r
KDB0	M	7	iy	l_iy_r
KDB0	M	7	iy	sh_iy_tcl
KDB0	M	7	iy	sh_iy_tcl
KDB0	M	7	iy	sh_iy_tcl
KDB0	M	7	iy	sh_iy_tcl
KDB0	M	7	iy	sh_iy_tcl
KDB0	M	7	iy	w_iy_n
KDB0	M	7	iy	w_iy_n
KDB0	M	7	iy	w_iy_n
KDB0	M	7	iy	n_iy_dcl
KDB0	M	7	iy	n_iy_dcl
KDB0	M	7	iy	n_iy_dcl
KDB0	M	7	iy	n_iy_dcl
KDB0	M	7	iy	n_iy_dcl
KDB0	M	7	iy	n_iy_dcl
KDB0	M	7	iy	n_iy_dcl
KDB0	M	7	iy	n_iy_dcl
KDB0	M	7	iy	k_iy_dx
KDB0	M	7	iy	k_iy_dx
KDB0	M	7	iy	k_iy_dx
KDB0	M	7	iy	k_iy_dx
KDB0	M	7	iy	axr_iy_s
KDB0	M	7	iy	axr_iy_s
KDB0	M	7	iy	axr_iy_s
KDB0	M	7	iy	q_iy_tcl
KDB0	M	7	iy	q_iy_tcl
KDB0	M	7	iy	q_iy_tcl
KDB0	M	7	iy	q_iy_tcl
KDB0	M	7	iy	q_iy_tcl
KDB0	M	7	iy	q_iy_tcl
KDB0	M	7	iy	q_iy_tcl
KDB0	M	7	iy	dx_iy_ao
KDB0	M	7	iy	dx_iy_ao
KDB0	M	7	iy	dx_iy_ao
KDB0	M	7	iy	dx_iy_ao
KDB0	M	7	iy	dx_iy_ao
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	r_iy_s
KDB0	M	7	iy	b_iy_sh
KDB0	M	7	iy	b_iy_sh
KDB0	M	7	iy	b_iy_sh
KDB0	M	7	iy	b_iy_sh
KDB0	M	7	iy	l_iy_h#
KDB0	M	7	iy	l_iy_h#
KDB0	M	7	iy	l_iy_h#
KDB0	M	7	iy	l_iy_h#
KDB0	M	7	iy	l_iy_h#
KDB0	M	7	iy	l_iy_h#
KDB0	M	7	iy	l_iy_h#
KDB0	M	7	iy	l_iy_h#
KDB0	M	7	iy	n_iy_kcl
KDB0	M	7	iy	n_iy_kcl
KDB0	M	7	iy	n_iy_kcl
KDB0	M	7	iy	b_iy_gcl
KDB0	M	7	iy	b_iy_gcl
KDB0	M	7	iy	b_iy_gcl
KDB0	M	7	iy	l_iy_ix
KDB0	M	7	iy	l_iy_ix
KDB0	M	7	iy	l_iy_ix
KDB0	M	7	iy	l_iy_ix
KDB0	M	7	iy	r_iy_sh
KDB0	M	7	iy	r_iy_sh
KDB0	M	7	iy	r_iy_sh
KDB0	M	7	iy	sh_iy_ey
KDB0	M	7	iy	sh_iy_ey
KDB0	M	7	iy	sh_iy_ey
KDB0	M	7	iy	sh_iy_ey
KDB0	M	7	aa	d_aa_r
KDB0	M	7	aa	d_aa_r
KDB0	M	7	aa	d_aa_r
KDB0	M	7	aa	d_aa_r
KDB0	M	7	aa	d_aa_r
KDB0	M	7	aa	d_aa_r
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	b_aa_m
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_dcl
KDB0	M	7	aa	t_aa_pcl
KDB0	M	7	aa	t_aa_pcl
KDB0	M	7	aa	t_aa_pcl
KDB0	M	7	aa	t_aa_pcl
KDB0	M	7	aa	t_aa_pcl
KDB0	M	7	aa	t_aa_pcl
KDB0	M	7	aa	t_aa_pcl
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	w_aa_sh
KDB0	M	7	aa	k_aa_n
KDB0	M	7	aa	k_aa_n
KDB0	M	7	aa	k_aa_n
KDB0	M	7	aa	k_aa_n
KDB0	M	7	aa	k_aa_n
KDB0	M	7	uh	t_uh_kcl
KDB0	M	7	uh	t_uh_kcl
KDB0	M	7	uh	t_uh_kcl
