ID	Sex	DR	Phone	Context
JDG0	M	7	iy	r_iy_s
JDG0	M	7	iy	r_iy_s
JDG0	M	7	iy	r_iy_s
JDG0	M	7	iy	r_iy_s
JDG0	M	7	iy	r_iy_s
JDG0	M	7	iy	s_iy_w
JDG0	M	7	iy	s_iy_w
JDG0	M	7	iy	s_iy_w
JDG0	M	7	iy	s_iy_w
JDG0	M	7	iy	s_iy_w
JDG0	M	7	iy	s_iy_w
JDG0	M	7	iy	dh_iy_eh
JDG0	M	7	iy	dh_iy_eh
JDG0	M	7	iy	dh_iy_eh
JDG0	M	7	iy	dh_iy_eh
JDG0	M	7	iy	dh_iy_eh
JDG0	M	7	iy	hv_iy_bcl
JDG0	M	7	iy	hv_iy_bcl
JDG0	M	7	iy	hv_iy_bcl
JDG0	M	7	iy	hv_iy_bcl
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	n_iy_dx
JDG0	M	7	iy	b_iy_ix
JDG0	M	7	iy	b_iy_ix
JDG0	M	7	iy	b_iy_ix
JDG0	M	7	iy	b_iy_ix
JDG0	M	7	iy	b_iy_ix
JDG0	M	7	iy	b_iy_ix
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	r_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
JDG0	M	7	iy	b_iy_n
