ID	Sex	DR	Vowel	Context
ABW0	M	2	iy	m_iy_dx
ABW0	M	2	iy	l_iy_r
ABW0	M	2	iy	n_iy_ow
ABW0	M	2	iy	r_iy_dx
ABW0	M	2	iy	n_iy_ow
ABW0	M	2	iy	d_iy_s
ABW0	M	2	iy	m_iy_h#
ABW0	M	2	iy	p_iy_pcl
ABW0	M	2	iy	b_iy_n
ABW0	M	2	iy	n_iy_dcl
ABW0	M	2	iy	l_iy_v
ABW0	M	2	iy	b_iy_eh
ABW0	M	2	ae	hv_ae_dcl
ABW0	M	2	ae	nx_ae_s
ABW0	M	2	ae	r_ae_gcl
ABW0	M	2	ae	dh_ae_q
ABW0	M	2	ae	f_ae_kcl
ABW0	M	2	ae	l_ae_sh
ABW0	M	2	ae	k_ae_f
ABW0	M	2	ae	jh_ae_n
ABW0	M	2	ae	ay_ae_m
ABW0	M	2	ae	b_ae_s
ABW0	M	2	aa	d_aa_r
ABW0	M	2	aa	f_aa_r
ABW0	M	2	aa	l_aa_ng
ABW0	M	2	aa	ih_aa_r
ABW0	M	2	aa	b_aa_r
ABW0	M	2	aa	b_aa_n
ABW0	M	2	uh	g_uh_dcl
ABW0	M	2	uh	w_uh_dcl
ABW0	M	2	b	r_bcl_b
ABW0	M	2	b	bcl_b_ay
ABW0	M	2	b	m_b_er
ABW0	M	2	b	dcl_b_iy
ABW0	M	2	b	h#_b_aa
ABW0	M	2	b	r_bcl_b
ABW0	M	2	b	bcl_b_er
ABW0	M	2	b	ah_bcl_b
ABW0	M	2	b	bcl_b_ih
ABW0	M	2	b	gcl_b_aa
ABW0	M	2	b	h#_b_ae
ABW0	M	2	b	ih_bcl_b
ABW0	M	2	b	bcl_b_ao
ABW0	M	2	b	n_bcl_b
ABW0	M	2	b	bcl_b_iy
ABW0	M	2	d	ae_dcl_jh
ABW0	M	2	d	axr_dcl_d
ABW0	M	2	d	dcl_d_aa
ABW0	M	2	d	ux_dcl_d
ABW0	M	2	d	dcl_d_ih
ABW0	M	2	d	ao_dx_axr
ABW0	M	2	d	h#_d_ao
ABW0	M	2	d	iy_dx_ix
ABW0	M	2	d	kcl_dh_ae
ABW0	M	2	d	iy_dx_ix
ABW0	M	2	d	n_dcl_d
ABW0	M	2	d	dcl_d_ay
ABW0	M	2	d	ay_dx_ah
ABW0	M	2	d	el_dcl_d
ABW0	M	2	d	dcl_d_h#
ABW0	M	2	d	h#_dh_eh
ABW0	M	2	d	ah_dh_ih
ABW0	M	2	d	h#_d_iy
ABW0	M	2	d	en_dcl_jh
ABW0	M	2	d	uh_dcl_q
ABW0	M	2	d	n_dcl_d
ABW0	M	2	d	dcl_d_er
ABW0	M	2	d	r_dcl_jh
ABW0	M	2	d	pau_dh_ah
ABW0	M	2	d	uh_dcl_b
ABW0	M	2	d	iy_dcl_d
ABW0	M	2	d	dcl_d_f
ABW0	M	2	d	n_dcl_p
ABW0	M	2	g	ih_ng_gcl
ABW0	M	2	g	ng_gcl_g
ABW0	M	2	g	gcl_g_r
ABW0	M	2	g	ae_gcl_g
ABW0	M	2	g	gcl_g_l
ABW0	M	2	g	aa_ng_ih
ABW0	M	2	g	aw_gcl_g
ABW0	M	2	g	gcl_g_uh
ABW0	M	2	g	ih_gcl_b
ABW0	M	2	g	ix_ng_s
ABW0	M	2	p	sh_epi_w
ABW0	M	2	p	h#_p_r
ABW0	M	2	p	z_pau_k
ABW0	M	2	p	ow_pcl_p
ABW0	M	2	p	pcl_p_ax
ABW0	M	2	p	ow_pcl_p
ABW0	M	2	p	pcl_p_ax
ABW0	M	2	p	em_pcl_p
ABW0	M	2	p	pcl_p_ao
ABW0	M	2	p	s_epi_m
ABW0	M	2	p	s_pcl_p
ABW0	M	2	p	pcl_p_eh
ABW0	M	2	p	f_pcl_p
ABW0	M	2	p	pcl_p_iy
ABW0	M	2	p	iy_pcl_p
ABW0	M	2	p	pcl_p_el
ABW0	M	2	p	s_pau_dh
ABW0	M	2	p	dcl_p_ey
ABW0	M	2	p	ey_pcl_p
ABW0	M	2	p	pcl_p_er
ABW0	M	2	p	s_pcl_p
ABW0	M	2	p	pcl_p_ao
ABW0	M	2	t	q_t_h#
ABW0	M	2	t	n_tcl_t
ABW0	M	2	t	tcl_t_s
ABW0	M	2	t	sh_tcl_t
ABW0	M	2	t	tcl_t_ix
ABW0	M	2	t	s_tcl_t
ABW0	M	2	t	tcl_t_r
ABW0	M	2	t	n_tcl_s
ABW0	M	2	t	s_tcl_t
ABW0	M	2	t	tcl_t_l
ABW0	M	2	t	f_tcl_t
ABW0	M	2	t	tcl_t_ax
ABW0	M	2	t	en_tcl_t
ABW0	M	2	t	tcl_t_h#
ABW0	M	2	t	n_t_s
ABW0	M	2	t	s_tcl_t
ABW0	M	2	t	tcl_t_ix
ABW0	M	2	t	n_tcl_t
ABW0	M	2	t	tcl_t_s
ABW0	M	2	t	axr_tcl_t
ABW0	M	2	t	tcl_t_ey
ABW0	M	2	t	r_tcl_t
ABW0	M	2	t	tcl_t_h#
ABW0	M	2	k	r_kcl_k
ABW0	M	2	k	kcl_k_s
ABW0	M	2	k	s_kcl_m
ABW0	M	2	k	ix_kcl_k
ABW0	M	2	k	kcl_k_eh
ABW0	M	2	k	ay_kcl_dh
ABW0	M	2	k	ae_kcl_k
ABW0	M	2	k	kcl_k_sh
ABW0	M	2	k	pau_k_l
ABW0	M	2	k	s_kcl_k
ABW0	M	2	k	kcl_k_ae
ABW0	M	2	k	ey_kcl_k
ABW0	M	2	k	kcl_k_y
ABW0	M	2	k	s_kcl_k
ABW0	M	2	k	kcl_k_ih
ABW0	M	2	k	ao_kcl_k
ABW0	M	2	k	kcl_k_ix
ABW0	M	2	s	h#_sh_ix
ABW0	M	2	s	k_s_ux
ABW0	M	2	s	ix_s_ix
ABW0	M	2	s	ao_sh_epi
ABW0	M	2	s	ae_s_kcl
ABW0	M	2	s	t_s_ih
ABW0	M	2	s	k_sh_ix
ABW0	M	2	s	ae_sh_tcl
ABW0	M	2	s	n_s_tcl
ABW0	M	2	s	tcl_s_kcl
ABW0	M	2	s	ix_s_tcl
ABW0	M	2	s	iy_s_eh
ABW0	M	2	s	ay_s_epi
ABW0	M	2	s	t_s_tcl
ABW0	M	2	s	ix_s_pcl
ABW0	M	2	s	t_s_h#
ABW0	M	2	s	ah_s_pau
ABW0	M	2	s	ae_s_kcl
ABW0	M	2	s	ng_s_pcl
ABW0	M	2	z	ih_z_eh
ABW0	M	2	z	n_z_pau
ABW0	M	2	z	aw_z_ax
ABW0	M	2	z	ax_z_n
ABW0	M	2	z	ix_zh_er
ABW0	M	2	z	v_z_ix
ABW0	M	2	sh	h#_sh_ix
ABW0	M	2	sh	ao_sh_epi
ABW0	M	2	sh	k_sh_ix
ABW0	M	2	sh	ae_sh_tcl
ABW0	M	2	dh	kcl_dh_ae
ABW0	M	2	dh	h#_dh_eh
ABW0	M	2	dh	ah_dh_ih
ABW0	M	2	dh	pau_dh_ah
ABW0	M	2	f	n_f_ae
ABW0	M	2	f	ae_f_el
ABW0	M	2	f	ih_f_aa
ABW0	M	2	f	ah_f_tcl
ABW0	M	2	f	ix_f_ih
ABW0	M	2	f	ix_f_pcl
ABW0	M	2	f	d_f_axr
ABW0	M	2	f	l_f_eh
ABW0	M	2	f	n_f_ay
ABW0	M	2	v	ix_hv_ae
ABW0	M	2	v	m_hv_aw
ABW0	M	2	v	iy_v_z
ABW0	M	2	jh	dcl_jh_axr
ABW0	M	2	jh	h#_jh_ix
ABW0	M	2	jh	dcl_jh_ae
ABW0	M	2	jh	dcl_jh_eh
