ID	Sex	DR	Vowel	Context
AEM0	F	2	iy	sh_iy_hv
AEM0	F	2	iy	r_iy_s
AEM0	F	2	iy	s_iy_w
AEM0	F	2	iy	m_iy_tcl
AEM0	F	2	iy	r_iy_ix
AEM0	F	2	iy	l_iy_r
AEM0	F	2	iy	k_iy_ng
AEM0	F	2	iy	f_iy_l
AEM0	F	2	iy	sh_iy_dcl
AEM0	F	2	iy	dx_iy_eh
AEM0	F	2	iy	dx_iy_gcl
AEM0	F	2	iy	b_iy_s
AEM0	F	2	iy	th_iy_ng
AEM0	F	2	iy	el_iy_f
AEM0	F	2	iy	r_iy_h#
AEM0	F	2	ae	nx_ae_s
AEM0	F	2	ae	r_ae_gcl
AEM0	F	2	ae	dh_ae_tcl
AEM0	F	2	ae	z_ae_m
AEM0	F	2	ae	p_ae_kcl
AEM0	F	2	ae	q_ae_n
AEM0	F	2	ae	hv_ae_n
AEM0	F	2	ae	hv_ae_n
AEM0	F	2	ae	p_ae_th
AEM0	F	2	ae	z_ae_m
AEM0	F	2	ae	z_ae_n
AEM0	F	2	ae	ay_ae_f
AEM0	F	2	aa	d_aa_r
AEM0	F	2	aa	f_aa_r
AEM0	F	2	aa	l_aa_dcl
AEM0	F	2	aa	b_aa_r
AEM0	F	2	aa	k_aa_l
AEM0	F	2	aa	q_aa_r
AEM0	F	2	uh	p_uh_l
AEM0	F	2	uh	d_uh_sh
AEM0	F	2	b	n_bcl_b
AEM0	F	2	b	bcl_b_ow
AEM0	F	2	b	ax_bcl_b
AEM0	F	2	b	bcl_b_l
AEM0	F	2	b	el_bcl_b
AEM0	F	2	b	bcl_b_iy
AEM0	F	2	b	uw_bcl_b
AEM0	F	2	b	bcl_b_aa
AEM0	F	2	b	r_bcl_p
AEM0	F	2	b	h#_b_ih
AEM0	F	2	b	ih_bcl_b
AEM0	F	2	b	bcl_b_l
AEM0	F	2	d	eh_dcl_jh
AEM0	F	2	d	axr_dcl_d
AEM0	F	2	d	dcl_d_aa
AEM0	F	2	d	ao_dx_er
AEM0	F	2	d	h#_d_ow
AEM0	F	2	d	k_dh_ae
AEM0	F	2	d	eh_dcl_d
AEM0	F	2	d	dcl_d_pau
AEM0	F	2	d	n_dcl_d
AEM0	F	2	d	dcl_d_f
AEM0	F	2	d	l_dcl_s
AEM0	F	2	d	ah_dx_aw
AEM0	F	2	d	tcl_d_uh
AEM0	F	2	d	iy_dcl_d
AEM0	F	2	d	dcl_d_r
AEM0	F	2	d	ix_dx_iy
AEM0	F	2	d	ow_dx_axr
AEM0	F	2	d	ix_dx_iy
AEM0	F	2	d	n_dcl_d
AEM0	F	2	d	dcl_d_ix
AEM0	F	2	d	n_dcl_d
AEM0	F	2	d	dcl_d_h#
AEM0	F	2	d	aa_dcl_jh
AEM0	F	2	d	h#_dh_ow
AEM0	F	2	d	axr_dx_ix
AEM0	F	2	d	k_dh_ix
AEM0	F	2	g	n_gcl_g
AEM0	F	2	g	gcl_g_r
AEM0	F	2	g	ae_gcl_g
AEM0	F	2	g	gcl_g_l
AEM0	F	2	g	ix_gcl_z
AEM0	F	2	g	iy_ng_sh
AEM0	F	2	g	iy_gcl_g
AEM0	F	2	g	gcl_g_ow
AEM0	F	2	g	ix_gcl_g
AEM0	F	2	g	gcl_g_z
AEM0	F	2	g	iy_ng_kcl
AEM0	F	2	g	r_gcl_g
AEM0	F	2	g	gcl_g_y
AEM0	F	2	p	sh_epi_w
AEM0	F	2	p	m_pcl_p
AEM0	F	2	p	pcl_p_uh
AEM0	F	2	p	ax_pcl_p
AEM0	F	2	p	pcl_p_ae
AEM0	F	2	p	d_pau_q
AEM0	F	2	p	s_epi_m
AEM0	F	2	p	h#_p_ax
AEM0	F	2	p	ah_pcl_p
AEM0	F	2	p	pcl_p_w
AEM0	F	2	p	th_pcl_p
AEM0	F	2	p	pcl_p_ae
