ID	Sex	DR	Vowel	Context
ALR0	F	4	iy	sh_iy_hv
ALR0	F	4	iy	r_iy_s
ALR0	F	4	iy	s_iy_w
ALR0	F	4	iy	m_iy_tcl
ALR0	F	4	iy	r_iy_ix
ALR0	F	4	iy	l_iy_r
ALR0	F	4	iy	n_iy_bcl
ALR0	F	4	iy	b_iy_z
ALR0	F	4	iy	dx_iy_aa
ALR0	F	4	iy	k_iy_n
ALR0	F	4	iy	b_iy_ah
ALR0	F	4	iy	dh_iy_n
ALR0	F	4	iy	m_iy_dx
ALR0	F	4	iy	dx_iy_ix
ALR0	F	4	iy	n_iy_ix
ALR0	F	4	iy	h#_iy_w
ALR0	F	4	iy	r_iy_n
ALR0	F	4	iy	dx_iy_aa
ALR0	F	4	iy	jh_iy_q
ALR0	F	4	iy	r_iy_z
ALR0	F	4	iy	v_iy_z
ALR0	F	4	iy	jh_iy_tcl
ALR0	F	4	ae	nx_ae_s
ALR0	F	4	ae	r_ae_gcl
ALR0	F	4	ae	dh_ae_tcl
ALR0	F	4	ae	k_ae_kcl
ALR0	F	4	ae	n_ae_sh
ALR0	F	4	ae	hv_ae_v
ALR0	F	4	ae	ch_ae_l
ALR0	F	4	aa	d_aa_r
ALR0	F	4	aa	w_aa_r
ALR0	F	4	aa	w_aa_dx
ALR0	F	4	aa	iy_aa_n
ALR0	F	4	aa	t_aa_pcl
ALR0	F	4	aa	iy_aa_l
ALR0	F	4	aa	q_aa_nx
ALR0	F	4	uh	jh_uh_r
ALR0	F	4	uh	d_uh_z
ALR0	F	4	uh	w_uh_dcl
ALR0	F	4	uh	jh_uh_nx
ALR0	F	4	b	iy_bcl_b
ALR0	F	4	b	bcl_b_iy
ALR0	F	4	b	l_bcl_b
ALR0	F	4	b	bcl_b_iy
ALR0	F	4	b	ux_bcl_b
ALR0	F	4	b	bcl_b_axr
ALR0	F	4	d	eh_dcl_jh
ALR0	F	4	d	axr_dcl_d
ALR0	F	4	d	dcl_d_aa
ALR0	F	4	d	aa_dx_axr
ALR0	F	4	d	h#_d_ow
ALR0	F	4	d	kcl_dh_ae
ALR0	F	4	d	ay_dx_ao
ALR0	F	4	d	ix_dcl_jh
ALR0	F	4	d	ix_dx_iy
ALR0	F	4	d	n_dh_ax
ALR0	F	4	d	n_dcl_d
ALR0	F	4	d	dcl_d_aw
ALR0	F	4	d	h#_dh_iy
ALR0	F	4	d	iy_dx_iy
ALR0	F	4	d	ao_dx_axr
ALR0	F	4	d	n_dcl_t
ALR0	F	4	d	h#_d_uh
ALR0	F	4	d	n_d_ux
ALR0	F	4	d	ih_dx_iy
ALR0	F	4	d	ix_dcl_jh
ALR0	F	4	d	eh_dcl_w
ALR0	F	4	d	uh_dcl_z
ALR0	F	4	d	ch_dcl_jh
ALR0	F	4	d	ix_dcl_jh
ALR0	F	4	g	ix_ng_gcl
ALR0	F	4	g	ng_gcl_g
ALR0	F	4	g	gcl_g_r
ALR0	F	4	g	ae_gcl_g
ALR0	F	4	g	gcl_g_l
ALR0	F	4	g	ah_ng_hv
ALR0	F	4	g	h#_g_ah
ALR0	F	4	p	sh_epi_w
ALR0	F	4	p	ah_pcl_p
ALR0	F	4	p	pcl_p_ao
ALR0	F	4	p	aa_pcl_p
ALR0	F	4	p	pcl_p_ay
ALR0	F	4	p	ao_pcl_p
ALR0	F	4	p	pcl_p_ay
ALR0	F	4	p	z_epi_w
ALR0	F	4	t	ux_tcl_t
ALR0	F	4	t	tcl_t_q
ALR0	F	4	t	iy_tcl_t
ALR0	F	4	t	tcl_t_ix
ALR0	F	4	t	ae_tcl_h#
ALR0	F	4	t	n_tcl_t
ALR0	F	4	t	tcl_t_aa
ALR0	F	4	t	axr_th_ih
ALR0	F	4	t	s_tcl_t
ALR0	F	4	t	tcl_t_ix
ALR0	F	4	t	n_tcl_t
ALR0	F	4	t	tcl_t_ey
ALR0	F	4	t	n_tcl_t
ALR0	F	4	t	tcl_t_ey
ALR0	F	4	t	dcl_t_ux
ALR0	F	4	t	ah_tcl_ch
ALR0	F	4	t	s_tcl_t
ALR0	F	4	t	tcl_t_ah
ALR0	F	4	t	n_t_r
ALR0	F	4	t	k_th_r
ALR0	F	4	t	s_tcl_t
ALR0	F	4	t	tcl_t_h#
