ID	Sex	DR	Vowel	Context
ARW0	M	4	iy	sh_iy_hv
ARW0	M	4	iy	r_iy_z
ARW0	M	4	iy	z_iy_w
ARW0	M	4	iy	m_iy_dx
ARW0	M	4	iy	r_iy_eh
ARW0	M	4	iy	l_iy_r
ARW0	M	4	iy	s_iy_v
ARW0	M	4	iy	dx_iy_h#
ARW0	M	4	iy	r_iy_pau
ARW0	M	4	iy	r_iy_m
ARW0	M	4	iy	l_iy_f
ARW0	M	4	iy	r_iy_s
ARW0	M	4	iy	s_iy_kcl
ARW0	M	4	iy	l_iy_q
ARW0	M	4	iy	l_iy_kcl
ARW0	M	4	ae	nx_ae_s
ARW0	M	4	ae	r_ae_gcl
ARW0	M	4	ae	dh_ae_tcl
ARW0	M	4	ae	l_ae_n
ARW0	M	4	ae	t_ae_s
ARW0	M	4	ae	r_ae_f
ARW0	M	4	ae	b_ae_kcl
ARW0	M	4	aa	d_aa_r
ARW0	M	4	aa	dx_aa_r
ARW0	M	4	aa	r_aa_f
ARW0	M	4	aa	w_aa_axr
ARW0	M	4	aa	el_aa_z
ARW0	M	4	uh	w_uh_dcl
ARW0	M	4	uh	f_uh_l
ARW0	M	4	uh	k_uh_dcl
ARW0	M	4	b	dcl_b_ey
ARW0	M	4	b	s_bcl_b
ARW0	M	4	b	bcl_b_ae
ARW0	M	4	b	er_bcl_b
ARW0	M	4	b	bcl_b_el
ARW0	M	4	b	ax_bcl_b
ARW0	M	4	b	bcl_b_aw
ARW0	M	4	b	axr_bcl_b
ARW0	M	4	b	bcl_b_ix
ARW0	M	4	d	eh_dcl_jh
ARW0	M	4	d	axr_dcl_d
ARW0	M	4	d	dcl_d_aa
ARW0	M	4	d	ux_dx_ix
ARW0	M	4	d	ao_dx_axr
ARW0	M	4	d	h#_d_ow
ARW0	M	4	d	iy_dx_ix
ARW0	M	4	d	k_dh_ae
ARW0	M	4	d	n_dcl_b
ARW0	M	4	d	ey_dx_aa
ARW0	M	4	d	uh_dcl_ix
ARW0	M	4	d	ax_dh_ih
ARW0	M	4	d	h#_dh_ey
ARW0	M	4	d	eh_dcl_ch
ARW0	M	4	d	n_dh_ih
ARW0	M	4	d	ao_dx_iy
ARW0	M	4	d	ux_dcl_jh
ARW0	M	4	d	axr_dh_ax
ARW0	M	4	d	ey_dcl_jh
ARW0	M	4	d	kcl_d_ah
ARW0	M	4	d	h#_dh_pcl
ARW0	M	4	d	uh_dcl_en
ARW0	M	4	d	tcl_dh_eh
ARW0	M	4	d	er_dcl_jh
ARW0	M	4	d	n_dcl_d
ARW0	M	4	d	dcl_d_ih
ARW0	M	4	d	el_dx_ax
ARW0	M	4	g	ix_ng_gcl
ARW0	M	4	g	ng_gcl_g
ARW0	M	4	g	gcl_g_r
ARW0	M	4	g	ae_gcl_l
ARW0	M	4	g	l_gcl_g
ARW0	M	4	g	gcl_g_ao
ARW0	M	4	g	ah_ng_ix
ARW0	M	4	g	z_gcl_g
ARW0	M	4	g	gcl_g_eh
ARW0	M	4	p	sh_epi_w
ARW0	M	4	p	l_pcl_p
ARW0	M	4	p	pcl_p_w
ARW0	M	4	p	s_epi_n
ARW0	M	4	p	q_p_er
ARW0	M	4	p	er_pcl_p
ARW0	M	4	p	pcl_p_ax
ARW0	M	4	p	s_epi_l
ARW0	M	4	p	ey_pcl_p
ARW0	M	4	p	pcl_p_ix
ARW0	M	4	p	iy_pau_hh
ARW0	M	4	p	f_pau_t
ARW0	M	4	p	ah_pcl_h#
ARW0	M	4	p	dh_pcl_p
ARW0	M	4	p	pcl_p_r
ARW0	M	4	p	z_pau_ax
ARW0	M	4	p	em_pcl_p
ARW0	M	4	p	pcl_p_l
ARW0	M	4	t	ae_tcl_h#
ARW0	M	4	t	s_tcl_t
ARW0	M	4	t	tcl_t_r
ARW0	M	4	t	s_tcl_t
ARW0	M	4	t	tcl_t_ae
ARW0	M	4	t	ax_tcl_t
ARW0	M	4	t	tcl_t_r
ARW0	M	4	t	jh_tcl_t
ARW0	M	4	t	tcl_t_ey
ARW0	M	4	t	s_tcl_t
ARW0	M	4	t	tcl_t_r
ARW0	M	4	t	pau_t_r
ARW0	M	4	t	m_tcl_t
ARW0	M	4	t	tcl_t_ay
ARW0	M	4	t	eh_t_s
ARW0	M	4	t	aw_tcl_dh
ARW0	M	4	t	en_tcl_s
ARW0	M	4	k	r_kcl_k
ARW0	M	4	k	kcl_k_s
ARW0	M	4	k	s_kcl_k
ARW0	M	4	k	kcl_k_m
ARW0	M	4	k	ix_kcl_k
