ID	Sex	DR	Vowel	Context
BDG0	M	3	iy	sh_iy_hv
BDG0	M	3	iy	r_iy_z
BDG0	M	3	iy	z_iy_w
BDG0	M	3	iy	r_iy_ix
BDG0	M	3	iy	l_iy_r
BDG0	M	3	iy	w_iy_kcl
BDG0	M	3	iy	hh_iy_dh
BDG0	M	3	iy	z_iy_ae
BDG0	M	3	iy	l_iy_ix
BDG0	M	3	iy	l_iy_h#
BDG0	M	3	iy	l_iy_z
BDG0	M	3	iy	dx_iy_tcl
BDG0	M	3	iy	l_iy_nx
BDG0	M	3	iy	m_iy_h#
BDG0	M	3	iy	l_iy_n
BDG0	M	3	iy	r_iy_eh
BDG0	M	3	ae	hv_ae_dcl
BDG0	M	3	ae	nx_ae_s
BDG0	M	3	ae	r_ae_gcl
BDG0	M	3	ae	dh_ae_tcl
BDG0	M	3	ae	k_ae_n
BDG0	M	3	ae	m_ae_kcl
BDG0	M	3	ae	v_ae_l
BDG0	M	3	ae	iy_ae_s
BDG0	M	3	ae	axr_ae_bcl
BDG0	M	3	ae	b_ae_kcl
BDG0	M	3	ae	sh_ae_m
BDG0	M	3	aa	d_aa_r
BDG0	M	3	aa	w_aa_sh
BDG0	M	3	aa	w_aa_dx
BDG0	M	3	aa	hh_aa_r
BDG0	M	3	aa	m_aa_r
BDG0	M	3	aa	k_aa_r
BDG0	M	3	aa	dx_aa_r
BDG0	M	3	uh	g_uh_dcl
BDG0	M	3	b	ae_bcl_d
BDG0	M	3	b	axr_bcl_b
BDG0	M	3	b	bcl_b_ae
BDG0	M	3	b	ix_bcl_b
BDG0	M	3	b	bcl_b_r
BDG0	M	3	b	ey_bcl_b
BDG0	M	3	b	bcl_b_el
BDG0	M	3	d	ae_dcl_jh
BDG0	M	3	d	axr_dcl_d
BDG0	M	3	d	dcl_d_aa
BDG0	M	3	d	aa_dx_axr
BDG0	M	3	d	h#_d_ow
BDG0	M	3	d	ix_dx_ix
BDG0	M	3	d	k_dh_ae
BDG0	M	3	d	ix_dcl_v
BDG0	M	3	d	iy_dh_eh
BDG0	M	3	d	axr_dcl_hh
BDG0	M	3	d	ih_dx_ax
BDG0	M	3	d	ax_dh_ax
BDG0	M	3	d	eh_dh_axr
BDG0	M	3	d	bcl_d_ix
BDG0	M	3	d	uh_dcl_d
BDG0	M	3	d	dcl_d_f
BDG0	M	3	d	h#_dh_ix
BDG0	M	3	d	n_dcl_d
BDG0	M	3	d	dcl_d_ix
BDG0	M	3	d	ix_dx_ix
BDG0	M	3	d	tcl_dh_ix
BDG0	M	3	d	h#_dh_ow
BDG0	M	3	d	k_dh_ih
BDG0	M	3	d	s_dcl_d
BDG0	M	3	d	dcl_d_er
BDG0	M	3	d	er_dx_iy
BDG0	M	3	d	ax_dh_ix
BDG0	M	3	d	h#_dh_ix
BDG0	M	3	d	uw_dx_aa
BDG0	M	3	g	n_gcl_g
BDG0	M	3	g	gcl_g_r
BDG0	M	3	g	ae_gcl_g
BDG0	M	3	g	gcl_g_l
BDG0	M	3	g	z_gcl_g
BDG0	M	3	g	gcl_g_uh
BDG0	M	3	g	ah_gcl_h#
BDG0	M	3	p	sh_epi_w
BDG0	M	3	p	s_pcl_p
BDG0	M	3	p	pcl_p_eh
BDG0	M	3	p	axr_pau_w
BDG0	M	3	p	s_pcl_p
BDG0	M	3	p	pcl_p_er
BDG0	M	3	p	z_epi_m
BDG0	M	3	p	ih_pcl_h#
BDG0	M	3	p	ah_pcl_p
BDG0	M	3	p	pcl_p_l
BDG0	M	3	p	z_epi_m
BDG0	M	3	p	z_epi_m
BDG0	M	3	p	h#_p_l
BDG0	M	3	p	r_pcl_p
BDG0	M	3	p	pcl_p_ix
BDG0	M	3	p	m_pcl_p
BDG0	M	3	p	pcl_p_uw
BDG0	M	3	t	ux_tcl_q
BDG0	M	3	t	ae_tcl_h#
BDG0	M	3	t	ix_tcl_s
BDG0	M	3	t	kcl_t_ix
BDG0	M	3	t	s_tcl_t
BDG0	M	3	t	tcl_t_ix
BDG0	M	3	t	ih_tcl_ch
BDG0	M	3	t	n_th_ux
BDG0	M	3	t	s_tcl_t
BDG0	M	3	t	tcl_t_ix
BDG0	M	3	t	ix_tcl_dh
BDG0	M	3	t	z_tcl_t
BDG0	M	3	t	tcl_t_ey
BDG0	M	3	t	iy_tcl_t
BDG0	M	3	t	tcl_t_ey
BDG0	M	3	t	ao_th_tcl
BDG0	M	3	t	th_tcl_t
BDG0	M	3	t	tcl_t_ax
BDG0	M	3	t	ix_tcl_k
BDG0	M	3	k	r_kcl_k
BDG0	M	3	k	kcl_k_s
BDG0	M	3	k	s_kcl_m
BDG0	M	3	k	ix_kcl_k
BDG0	M	3	k	kcl_k_eh
BDG0	M	3	k	ay_kcl_k
BDG0	M	3	k	kcl_k_dh
BDG0	M	3	k	iy_kcl_k
BDG0	M	3	k	kcl_k_ae
BDG0	M	3	k	ae_kcl_k
BDG0	M	3	k	kcl_k_s
BDG0	M	3	k	ix_kcl_k
BDG0	M	3	k	kcl_k_s
BDG0	M	3	k	eh_kcl_t
BDG0	M	3	k	ix_kcl_h#
BDG0	M	3	k	s_kcl_k
BDG0	M	3	k	kcl_k_ix
BDG0	M	3	k	ae_kcl_k
BDG0	M	3	k	kcl_k_h#
BDG0	M	3	k	ix_kcl_k
BDG0	M	3	k	kcl_k_ao
BDG0	M	3	k	ey_kcl_k
BDG0	M	3	k	kcl_k_dh
BDG0	M	3	k	el_kcl_k
BDG0	M	3	k	kcl_k_l
BDG0	M	3	k	ix_kcl_k
BDG0	M	3	k	kcl_k_l
BDG0	M	3	k	ix_kcl_k
BDG0	M	3	k	kcl_k_aa
BDG0	M	3	k	tcl_k_l
BDG0	M	3	s	h#_sh_iy
BDG0	M	3	s	k_s_ux
BDG0	M	3	s	aa_sh_epi
BDG0	M	3	s	ae_s_kcl
BDG0	M	3	s	k_s_ix
BDG0	M	3	s	tcl_s_ix
BDG0	M	3	s	k_s_pcl
BDG0	M	3	s	eh_s_tcl
BDG0	M	3	s	ae_s_tcl
BDG0	M	3	s	eh_s_pcl
BDG0	M	3	s	er_s_ax
BDG0	M	3	s	el_s_ey
