ID	Sex	DR	Vowel	Context
CAU0	F	7	iy	sh_iy_hv
CAU0	F	7	iy	r_iy_s
CAU0	F	7	iy	r_iy_ix
CAU0	F	7	iy	l_iy_r
CAU0	F	7	iy	r_iy_v
CAU0	F	7	iy	s_iy_dcl
CAU0	F	7	iy	hh_iy_hv
CAU0	F	7	iy	dx_iy_l
CAU0	F	7	iy	r_iy_l
CAU0	F	7	iy	l_iy_f
CAU0	F	7	iy	th_iy_axr
CAU0	F	7	iy	er_iy_pcl
CAU0	F	7	iy	dx_iy_ix
CAU0	F	7	iy	l_iy_dcl
CAU0	F	7	ae	hv_ae_dcl
CAU0	F	7	ae	nx_ae_s
CAU0	F	7	ae	r_ae_gcl
CAU0	F	7	ae	dh_ae_tcl
CAU0	F	7	ae	r_ae_m
CAU0	F	7	ae	l_ae_f
CAU0	F	7	ae	d_ae_n
CAU0	F	7	ae	q_ae_pcl
CAU0	F	7	aa	d_aa_r
CAU0	F	7	aa	w_aa_sh
CAU0	F	7	aa	w_aa_dx
CAU0	F	7	aa	q_aa_l
CAU0	F	7	aa	q_aa_r
CAU0	F	7	aa	p_aa_s
CAU0	F	7	aa	w_aa_er
CAU0	F	7	aa	m_aa_l
CAU0	F	7	aa	m_aa_m
CAU0	F	7	uh	k_uh_kcl
CAU0	F	7	uh	sh_uh_gcl
CAU0	F	7	b	ax_bcl_b
CAU0	F	7	b	bcl_b_el
CAU0	F	7	b	m_bcl_b
CAU0	F	7	b	bcl_b_eh
CAU0	F	7	b	ix_bcl_b
CAU0	F	7	b	bcl_b_ao
CAU0	F	7	d	ae_dcl_jh
CAU0	F	7	d	axr_dcl_d
CAU0	F	7	d	dcl_d_aa
CAU0	F	7	d	aa_dx_axr
CAU0	F	7	d	h#_d_ow
CAU0	F	7	d	ix_dx_ix
CAU0	F	7	d	k_dh_ae
CAU0	F	7	d	h#_dh_ix
CAU0	F	7	d	z_dcl_p
CAU0	F	7	d	iy_dcl_jh
CAU0	F	7	d	m_dcl_d
CAU0	F	7	d	dcl_d_q
CAU0	F	7	d	axr_dcl_d
CAU0	F	7	d	dcl_d_ux
CAU0	F	7	d	l_dcl_d
CAU0	F	7	d	dcl_d_ih
CAU0	F	7	d	ay_dcl_z
CAU0	F	7	d	ey_dcl_hv
CAU0	F	7	d	ih_dcl_hv
CAU0	F	7	d	ey_dx_iy
CAU0	F	7	d	ix_dcl_d
CAU0	F	7	d	dcl_d_ih
CAU0	F	7	d	n_dcl_d
CAU0	F	7	d	dcl_d_axr
CAU0	F	7	d	ey_dcl_jh
CAU0	F	7	d	ix_dcl_jh
CAU0	F	7	d	axr_dcl_d
CAU0	F	7	d	dcl_d_ix
CAU0	F	7	d	h#_dh_ix
CAU0	F	7	d	ix_dx_iy
CAU0	F	7	d	ao_dcl_d
CAU0	F	7	d	dcl_d_ah
CAU0	F	7	d	f_dcl_d
CAU0	F	7	d	dcl_d_ae
CAU0	F	7	d	iy_dcl_d
CAU0	F	7	d	dcl_d_ix
CAU0	F	7	g	ih_ng_gcl
CAU0	F	7	g	ng_gcl_g
CAU0	F	7	g	gcl_g_r
CAU0	F	7	g	ae_gcl_g
CAU0	F	7	g	gcl_g_l
CAU0	F	7	g	ao_ng_q
CAU0	F	7	g	ah_ng_kcl
CAU0	F	7	g	uh_gcl_g
