ID	Sex	DR	Vowel	Context
CLT0	F	8	iy	sh_iy_hv
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	z_iy_w
CLT0	F	8	iy	m_iy_dx
CLT0	F	8	iy	r_iy_ix
CLT0	F	8	iy	l_iy_r
CLT0	F	8	iy	dh_iy_z
CLT0	F	8	iy	w_iy_dcl
CLT0	F	8	iy	b_iy_ix
CLT0	F	8	iy	dx_iy_ix
CLT0	F	8	iy	r_iy_z
CLT0	F	8	iy	sh_iy_ih
CLT0	F	8	iy	b_iy_pcl
CLT0	F	8	ae	hv_ae_dcl
CLT0	F	8	ae	n_ae_s
CLT0	F	8	ae	r_ae_gcl
CLT0	F	8	ae	dh_ae_tcl
CLT0	F	8	ae	t_ae_l
CLT0	F	8	ae	r_ae_kcl
CLT0	F	8	ae	hv_ae_l
CLT0	F	8	ae	ng_ae_n
CLT0	F	8	ae	t_ae_gcl
CLT0	F	8	ae	r_ae_pcl
CLT0	F	8	ae	t_ae_m
CLT0	F	8	ae	k_ae_n
CLT0	F	8	ae	r_ae_kcl
CLT0	F	8	aa	d_aa_r
CLT0	F	8	aa	w_aa_sh
CLT0	F	8	aa	ey_aa_l
CLT0	F	8	aa	k_aa_s
CLT0	F	8	aa	q_aa_pcl
CLT0	F	8	aa	w_aa_tcl
CLT0	F	8	uh	s_uh_bcl
CLT0	F	8	uh	jh_uh_s
CLT0	F	8	b	uh_bcl_b
CLT0	F	8	b	bcl_b_iy
CLT0	F	8	b	ix_bcl_b
CLT0	F	8	b	bcl_b_y
CLT0	F	8	b	ah_bcl_b
CLT0	F	8	b	bcl_b_s
CLT0	F	8	b	s_bcl_b
CLT0	F	8	b	bcl_b_ay
CLT0	F	8	b	m_bcl_b
CLT0	F	8	b	bcl_b_ay
CLT0	F	8	b	n_bcl_b
CLT0	F	8	b	bcl_b_iy
CLT0	F	8	d	ae_dcl_jh
CLT0	F	8	d	axr_dcl_d
CLT0	F	8	d	dcl_d_aa
CLT0	F	8	d	ux_dx_ix
