ID	Sex	DR	Vowel	Context
CMJ0	M	6	iy	sh_iy_hv
CMJ0	M	6	iy	r_iy_s
CMJ0	M	6	iy	s_iy_w
CMJ0	M	6	iy	y_iy_axr
CMJ0	M	6	iy	m_iy_dx
CMJ0	M	6	iy	r_iy_q
CMJ0	M	6	iy	l_iy_r
CMJ0	M	6	iy	n_iy_ix
CMJ0	M	6	iy	nx_iy_gcl
CMJ0	M	6	iy	w_iy_dcl
CMJ0	M	6	iy	nx_iy_s
CMJ0	M	6	iy	hh_iy_s
CMJ0	M	6	iy	l_iy_n
CMJ0	M	6	ae	nx_ae_s
CMJ0	M	6	ae	r_ae_gcl
CMJ0	M	6	ae	dh_ae_tcl
CMJ0	M	6	ae	b_ae_kcl
CMJ0	M	6	ae	z_ae_m
CMJ0	M	6	aa	d_aa_r
CMJ0	M	6	aa	w_aa_sh
CMJ0	M	6	aa	r_aa_s
CMJ0	M	6	aa	q_aa_r
CMJ0	M	6	aa	jh_aa_n
CMJ0	M	6	b	ng_bcl_b
CMJ0	M	6	b	bcl_b_ae
CMJ0	M	6	b	h#_b_ix
CMJ0	M	6	b	ax_bcl_b
CMJ0	M	6	b	bcl_b_eh
CMJ0	M	6	b	h#_b_ax-h
CMJ0	M	6	d	eh_dcl_y
CMJ0	M	6	d	axr_dcl_d
CMJ0	M	6	d	dcl_d_aa
CMJ0	M	6	d	ao_dx_axr
CMJ0	M	6	d	h#_d_ow
CMJ0	M	6	d	iy_dx_ix
CMJ0	M	6	d	kcl_dh_ae
CMJ0	M	6	d	h#_dh_ax
CMJ0	M	6	d	ah_dx_ix
CMJ0	M	6	d	tcl_dh_ix
CMJ0	M	6	d	iy_dcl_d
CMJ0	M	6	d	dcl_d_ow
CMJ0	M	6	d	ax_dcl_d
CMJ0	M	6	d	dcl_d_ay
CMJ0	M	6	d	z_dcl_d
CMJ0	M	6	d	dcl_d_ey
CMJ0	M	6	d	h#_dh_ey
CMJ0	M	6	d	n_dcl_jh
CMJ0	M	6	d	ao_dcl_d
CMJ0	M	6	d	dcl_d_ih
CMJ0	M	6	d	ux_dx_ix
CMJ0	M	6	d	ux_dcl_jh
CMJ0	M	6	g	n_gcl_g
CMJ0	M	6	g	gcl_g_r
CMJ0	M	6	g	ae_gcl_l
CMJ0	M	6	g	ix_ng_bcl
CMJ0	M	6	g	ix_ng_pau
CMJ0	M	6	g	iy_gcl_g
CMJ0	M	6	g	gcl_g_ah
CMJ0	M	6	g	tcl_g_eh
CMJ0	M	6	g	eh_gcl_g
CMJ0	M	6	g	gcl_g_axr
CMJ0	M	6	g	ix_gcl_g
CMJ0	M	6	g	gcl_g_z
CMJ0	M	6	g	r_gcl_ux
CMJ0	M	6	g	ix_ng_h#
CMJ0	M	6	p	sh_epi_w
CMJ0	M	6	p	s_pcl_p
CMJ0	M	6	p	pcl_p_ey
CMJ0	M	6	p	ey_pcl_p
CMJ0	M	6	p	pcl_p_axr
CMJ0	M	6	p	z_pcl_p
CMJ0	M	6	p	pcl_p_l
CMJ0	M	6	p	s_epi_n
CMJ0	M	6	p	ax_pcl_p
CMJ0	M	6	p	pcl_p_r
CMJ0	M	6	p	s_pcl_p
CMJ0	M	6	p	pcl_p_eh
CMJ0	M	6	p	s_pcl_eh
CMJ0	M	6	p	ng_pau_ix
CMJ0	M	6	p	n_pcl_p
CMJ0	M	6	p	pcl_p_l
CMJ0	M	6	p	ih_pcl_p
CMJ0	M	6	p	pcl_p_s
CMJ0	M	6	p	aw_pau_eh
CMJ0	M	6	p	jh_pcl_p
CMJ0	M	6	p	pcl_p_er
CMJ0	M	6	p	z_pau_sh
CMJ0	M	6	t	ux_tcl_ix
CMJ0	M	6	t	ae_tcl_h#
CMJ0	M	6	t	kcl_t_ix
CMJ0	M	6	t	s_tcl_t
CMJ0	M	6	t	tcl_t_ax-h
CMJ0	M	6	t	kcl_t_ix
CMJ0	M	6	t	ix_tcl_dh
CMJ0	M	6	t	n_tcl_g
CMJ0	M	6	t	eh_tcl_s
CMJ0	M	6	t	s_tcl_t
CMJ0	M	6	t	tcl_t_ow
CMJ0	M	6	t	r_th_er
CMJ0	M	6	t	f_th_ao
CMJ0	M	6	t	n_tcl_t
CMJ0	M	6	t	tcl_t_axr
CMJ0	M	6	t	er_tcl_ch
CMJ0	M	6	k	r_kcl_k
CMJ0	M	6	k	kcl_k_s
CMJ0	M	6	k	ix_kcl_k
CMJ0	M	6	k	kcl_k_eh
CMJ0	M	6	k	ay_kcl_dh
CMJ0	M	6	k	ix_kcl_k
CMJ0	M	6	k	kcl_k_ix
CMJ0	M	6	k	ay_kcl_t
CMJ0	M	6	k	ix_kcl_k
CMJ0	M	6	k	kcl_k_ao
CMJ0	M	6	k	ax-h_kcl_h#
CMJ0	M	6	k	eh_kcl_t
CMJ0	M	6	k	v_kcl_k
CMJ0	M	6	k	kcl_k_ah
CMJ0	M	6	k	ae_kcl_k
CMJ0	M	6	k	kcl_k_s
CMJ0	M	6	k	n_kcl_k
CMJ0	M	6	k	kcl_k_l
CMJ0	M	6	s	h#_sh_iy
CMJ0	M	6	s	k_s_ux
CMJ0	M	6	s	iy_s_iy
CMJ0	M	6	s	aa_sh_epi
CMJ0	M	6	s	ae_s_m
CMJ0	M	6	s	ux_s_pcl
CMJ0	M	6	s	ey_s_epi
CMJ0	M	6	s	ih_s_tcl
CMJ0	M	6	s	aa_s_pcl
CMJ0	M	6	s	k_s_pcl
CMJ0	M	6	s	ix_sh_ih
CMJ0	M	6	s	p_s_axr
CMJ0	M	6	s	ix_s_l
CMJ0	M	6	s	tcl_s_ow
CMJ0	M	6	s	iy_s_ey
CMJ0	M	6	s	iy_s_tcl
CMJ0	M	6	s	ih_sh_ix
CMJ0	M	6	s	ix_s_eh
CMJ0	M	6	s	ix_s_h#
CMJ0	M	6	s	pau_sh_eh
CMJ0	M	6	s	ix_sh_f
CMJ0	M	6	z	axr_z_l
CMJ0	M	6	z	ix_z_pcl
CMJ0	M	6	z	ix_z_en
CMJ0	M	6	z	eh_z_ix
CMJ0	M	6	z	axr_z_ix
CMJ0	M	6	z	er_z_dcl
CMJ0	M	6	z	ey_z_ix
CMJ0	M	6	z	g_z_ae
CMJ0	M	6	z	n_z_pau
CMJ0	M	6	sh	h#_sh_iy
CMJ0	M	6	sh	aa_sh_epi
CMJ0	M	6	sh	ix_sh_ih
CMJ0	M	6	sh	ih_sh_ix
CMJ0	M	6	sh	pau_sh_eh
CMJ0	M	6	sh	ix_sh_f
CMJ0	M	6	dh	kcl_dh_ae
CMJ0	M	6	dh	h#_dh_ax
CMJ0	M	6	dh	tcl_dh_ix
CMJ0	M	6	dh	h#_dh_ey
CMJ0	M	6	f	n_f_axr
CMJ0	M	6	f	m_f_r
CMJ0	M	6	f	ax-h_f_ao
CMJ0	M	6	f	ix_f_ao
CMJ0	M	6	f	eh_f_th
CMJ0	M	6	f	n_f_ey
CMJ0	M	6	f	axr_f_ux
CMJ0	M	6	f	l_f_ix
CMJ0	M	6	f	sh_f_axr
CMJ0	M	6	v	iy_hv_eh
CMJ0	M	6	v	ix_v_y
CMJ0	M	6	v	l_hv_ix
CMJ0	M	6	v	ix_v_kcl
CMJ0	M	6	v	ah_v_axr
CMJ0	M	6	v	axr_v_er
CMJ0	M	6	v	ix_v_y
CMJ0	M	6	v	eh_v_r
CMJ0	M	6	v	ey_v_er
CMJ0	M	6	v	ix_v_ix
CMJ0	M	6	v	ih_v_ix
CMJ0	M	6	jh	dcl_jh_oy
CMJ0	M	6	jh	h#_jh_eh
CMJ0	M	6	jh	dcl_jh_pcl
CMJ0	M	6	jh	h#_jh_aa
CMJ0	M	6	ch	tcl_ch_ix
