ID	Sex	DR	Vowel	Context
CRH0	F	4	iy	sh_iy_hv
CRH0	F	4	iy	r_iy_s
CRH0	F	4	iy	s_iy_w
CRH0	F	4	iy	y_iy_axr
CRH0	F	4	iy	m_iy_tcl
CRH0	F	4	iy	r_iy_pau
CRH0	F	4	iy	l_iy_r
CRH0	F	4	iy	t_iy_tcl
CRH0	F	4	iy	p_iy_pcl
CRH0	F	4	iy	th_iy_ng
CRH0	F	4	iy	m_iy_h#
CRH0	F	4	iy	dh_iy_ah
CRH0	F	4	iy	t_iy_dcl
CRH0	F	4	iy	hh_iy_ix
CRH0	F	4	iy	l_iy_r
CRH0	F	4	iy	r_iy_dcl
CRH0	F	4	iy	r_iy_tcl
CRH0	F	4	iy	n_iy_dx
CRH0	F	4	iy	b_iy_kcl
CRH0	F	4	iy	l_iy_tcl
CRH0	F	4	iy	l_iy_pau
CRH0	F	4	iy	r_iy_pau
CRH0	F	4	iy	l_iy_q
CRH0	F	4	iy	dh_iy_ae
CRH0	F	4	ae	hv_ae_dcl
CRH0	F	4	ae	q_ae_kcl
CRH0	F	4	ae	r_ae_gcl
CRH0	F	4	ae	dh_ae_tcl
CRH0	F	4	ae	s_ae_pcl
CRH0	F	4	ae	r_ae_m
CRH0	F	4	ae	l_ae_kcl
CRH0	F	4	ae	iy_ae_n
CRH0	F	4	aa	d_aa_r
CRH0	F	4	aa	w_aa_sh
CRH0	F	4	aa	n_aa_dx
CRH0	F	4	aa	k_aa_s
CRH0	F	4	b	ax_bcl_aw
CRH0	F	4	b	ax_bcl_b
CRH0	F	4	b	bcl_b_ih
CRH0	F	4	b	dcl_b_l
CRH0	F	4	b	ix_bcl_b
CRH0	F	4	b	bcl_b_iy
CRH0	F	4	d	ae_dcl_d
CRH0	F	4	d	dcl_d_y
CRH0	F	4	d	axr_dcl_d
CRH0	F	4	d	dcl_d_aa
CRH0	F	4	d	ao_dx_axr
CRH0	F	4	d	h#_dcl_d
CRH0	F	4	d	dcl_d_ow
CRH0	F	4	d	kcl_dh_ae
CRH0	F	4	d	n_dcl_d
CRH0	F	4	d	dcl_d_axr
CRH0	F	4	d	h#_d_ix
CRH0	F	4	d	tcl_dh_ey
CRH0	F	4	d	h#_dh_ih
CRH0	F	4	d	aa_dx_ax
CRH0	F	4	d	z_dcl_m
CRH0	F	4	d	eh_dx_ix
CRH0	F	4	d	pau_dh_iy
CRH0	F	4	d	ix_dcl_q
CRH0	F	4	d	er_dh_axr
CRH0	F	4	d	iy_dcl_jh
CRH0	F	4	d	iy_dcl_z
CRH0	F	4	d	z_dh_ax
CRH0	F	4	d	iy_dx_ix
CRH0	F	4	d	ix_dcl_b
CRH0	F	4	d	ay_dcl_d
CRH0	F	4	d	dcl_d_ax
CRH0	F	4	d	s_dh_ax
CRH0	F	4	d	m_dh_iy
CRH0	F	4	g	n_gcl_g
CRH0	F	4	g	gcl_g_r
CRH0	F	4	g	ae_gcl_g
CRH0	F	4	g	gcl_g_l
CRH0	F	4	g	iy_ng_kcl
CRH0	F	4	g	ow_gcl_g
CRH0	F	4	g	gcl_g_r
CRH0	F	4	g	kcl_g_l
CRH0	F	4	g	ax_gcl_g
CRH0	F	4	g	gcl_g_ix
CRH0	F	4	g	h#_g_eh
CRH0	F	4	p	t_pau_ix
CRH0	F	4	p	s_epi_m
CRH0	F	4	p	iy_pau_ix
CRH0	F	4	p	t_pau_ix
CRH0	F	4	p	ae_pcl_k
CRH0	F	4	p	ix_pcl_p
CRH0	F	4	p	pcl_p_iy
CRH0	F	4	p	iy_pcl_el
CRH0	F	4	p	ax_pcl_p
CRH0	F	4	p	pcl_p_r
CRH0	F	4	p	m_pau_ax
CRH0	F	4	p	z_pau_dh
CRH0	F	4	p	s_pcl_eh
CRH0	F	4	p	z_pcl_p
CRH0	F	4	p	pcl_p_r
CRH0	F	4	p	m_pau_n
CRH0	F	4	p	z_pau_t
CRH0	F	4	p	m_pcl_p
CRH0	F	4	p	pcl_p_l
CRH0	F	4	p	iy_pau_eh
CRH0	F	4	p	iy_pau_ow
CRH0	F	4	p	m_epi_z
CRH0	F	4	t	ux_tcl_t
CRH0	F	4	t	tcl_t_pau
CRH0	F	4	t	iy_tcl_t
CRH0	F	4	t	tcl_t_ix
CRH0	F	4	t	ae_tcl_t
CRH0	F	4	t	tcl_t_h#
