ID	Sex	DR	Vowel	Context
DAC1	F	1	iy	sh_iy_hv
DAC1	F	1	iy	r_iy_s
DAC1	F	1	iy	s_iy_w
DAC1	F	1	iy	m_iy_dx
DAC1	F	1	iy	r_iy_ix
DAC1	F	1	iy	l_iy_r
DAC1	F	1	iy	k_iy_y
DAC1	F	1	iy	hv_iy_s
DAC1	F	1	iy	hh_iy_th
DAC1	F	1	iy	s_iy_pau
DAC1	F	1	iy	s_iy_q
DAC1	F	1	iy	ch_iy_v
DAC1	F	1	iy	dh_iy_ih
DAC1	F	1	iy	r_iy_ix
DAC1	F	1	iy	nx_iy_ng
DAC1	F	1	iy	ch_iy_pcl
DAC1	F	1	iy	k_iy_ng
DAC1	F	1	iy	l_iy_z
DAC1	F	1	iy	dx_iy_dcl
DAC1	F	1	iy	s_iy_ih
DAC1	F	1	iy	t_iy_th
DAC1	F	1	ae	hv_ae_dcl
DAC1	F	1	ae	d_ae_kcl
DAC1	F	1	ae	q_ae_s
DAC1	F	1	ae	k_ae_r
DAC1	F	1	ae	r_ae_gcl
DAC1	F	1	ae	th_ae_tcl
DAC1	F	1	ae	m_ae_n
DAC1	F	1	ae	q_ae_q
DAC1	F	1	ae	l_ae_s
DAC1	F	1	ae	q_ae_tcl
DAC1	F	1	ae	v_ae_tcl
DAC1	F	1	ae	ch_ae_l
DAC1	F	1	ae	k_ae_l
DAC1	F	1	aa	w_aa_sh
DAC1	F	1	aa	m_aa_kcl
DAC1	F	1	aa	h#_aa_hv
DAC1	F	1	aa	hv_aa_hh
DAC1	F	1	aa	h#_aa_bcl
DAC1	F	1	aa	t_aa_kcl
DAC1	F	1	uh	y_uh_dcl
DAC1	F	1	uh	f_uh_l
DAC1	F	1	uh	dh_uh_s
DAC1	F	1	b	aa_bcl_jh
DAC1	F	1	b	axr_bcl_b
DAC1	F	1	b	bcl_b_y
DAC1	F	1	b	eh_bcl_pau
DAC1	F	1	b	pau_bcl_b
DAC1	F	1	b	bcl_b_ow
DAC1	F	1	d	ae_dcl_d
