ID	Sex	DR	Vowel	Context
DAS1	F	2	iy	sh_iy_hv
DAS1	F	2	iy	r_iy_s
DAS1	F	2	iy	s_iy_w
DAS1	F	2	iy	m_iy_dx
DAS1	F	2	iy	er_iy_ix
DAS1	F	2	iy	l_iy_r
DAS1	F	2	iy	b_iy_l
DAS1	F	2	iy	t_iy_ng
DAS1	F	2	iy	l_iy_ih
DAS1	F	2	iy	th_iy_f
DAS1	F	2	iy	w_iy_w
DAS1	F	2	iy	n_iy_n
DAS1	F	2	iy	q_iy_tcl
DAS1	F	2	ae	hv_ae_dcl
DAS1	F	2	ae	nx_ae_s
DAS1	F	2	ae	r_ae_gcl
DAS1	F	2	ae	dh_ae_tcl
DAS1	F	2	ae	k_ae_s
DAS1	F	2	ae	t_ae_tcl
DAS1	F	2	ae	h#_ae_l
DAS1	F	2	ae	f_ae_l
DAS1	F	2	ae	q_ae_v
DAS1	F	2	ae	l_ae_n
DAS1	F	2	aa	d_aa_r
DAS1	F	2	aa	w_aa_sh
DAS1	F	2	aa	n_aa_m
DAS1	F	2	aa	r_aa_bcl
DAS1	F	2	aa	p_aa_r
DAS1	F	2	aa	sh_aa_kcl
DAS1	F	2	uh	w_uh_bcl
DAS1	F	2	b	ux_bcl_b
DAS1	F	2	b	bcl_b_q
DAS1	F	2	b	uh_bcl_b
DAS1	F	2	b	bcl_b_iy
DAS1	F	2	b	ng_bcl_b
DAS1	F	2	b	bcl_b_ah
DAS1	F	2	b	s_bcl_b
DAS1	F	2	b	bcl_b_ay
DAS1	F	2	b	aa_bcl_b
DAS1	F	2	b	bcl_b_l
DAS1	F	2	d	ae_dcl_jh
DAS1	F	2	d	er_dcl_d
DAS1	F	2	d	dcl_d_aa
DAS1	F	2	d	ao_dx_er
DAS1	F	2	d	h#_d_ow
DAS1	F	2	d	iy_dx_ax
DAS1	F	2	d	k_dh_ae
DAS1	F	2	d	er_dcl_p
DAS1	F	2	d	axr_dh_ih
DAS1	F	2	d	eh_dcl_h#
DAS1	F	2	d	n_dcl_d
DAS1	F	2	d	dcl_d_ix
DAS1	F	2	d	ih_dcl_jh
DAS1	F	2	d	ah_dcl_en
DAS1	F	2	d	en_dcl_d
DAS1	F	2	d	dcl_d_ix
DAS1	F	2	d	kcl_dh_ix
DAS1	F	2	d	h#_dh_ix
DAS1	F	2	d	er_dx_ax
DAS1	F	2	d	ux_dcl_en
DAS1	F	2	g	n_gcl_g
DAS1	F	2	g	gcl_g_r
DAS1	F	2	g	ae_gcl_g
DAS1	F	2	g	gcl_g_l
DAS1	F	2	g	iy_ng_bcl
DAS1	F	2	g	ah_ng_kcl
DAS1	F	2	g	ih_gcl_er
DAS1	F	2	p	sh_epi_w
DAS1	F	2	p	s_epi_m
DAS1	F	2	p	dcl_p_axr
DAS1	F	2	p	s_pcl_p
DAS1	F	2	p	pcl_p_er
DAS1	F	2	p	m_pcl_t
DAS1	F	2	p	n_pau_n
DAS1	F	2	p	em_pcl_p
DAS1	F	2	p	pcl_p_er
DAS1	F	2	p	el_pcl_p
DAS1	F	2	p	pcl_p_r
DAS1	F	2	p	ix_pcl_p
DAS1	F	2	p	pcl_p_aa
DAS1	F	2	p	ax_pcl_p
DAS1	F	2	p	pcl_p_r
DAS1	F	2	p	em_pcl_p
DAS1	F	2	p	pcl_p_ow
DAS1	F	2	t	ux_tcl_q
DAS1	F	2	t	ae_tcl_h#
